team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Columbus Blue Jackets,2005-10-05,0,2,3,0.0,75.0,37.0,19.0,52.5,Washington Capitals,@,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-07,0,1,3,20.0,100.0,20.0,38.0,50.0,Calgary Flames,vs,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-09,2,3,2,25.0,87.5,27.0,32.0,44.8,Chicago Blackhawks,@,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-12,0,1,4,0.0,100.0,27.0,36.0,59.7,San Jose Sharks,@,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-14,0,3,4,22.2,83.3,19.0,36.0,51.6,Anaheim Ducks,@,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-16,0,1,3,0.0,77.8,20.0,31.0,47.5,Los Angeles Kings,@,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-21,2,4,1,14.3,85.7,25.0,26.0,44.0,San Jose Sharks,vs,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-22,0,0,6,0.0,80.0,17.0,36.0,60.0,Detroit Red Wings,vs,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-24,0,2,6,12.5,66.7,33.0,37.0,50.0,Detroit Red Wings,vs,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-26,2,3,2,16.7,83.3,34.0,24.0,45.0,Nashville Predators,vs,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-28,2,1,1,0.0,100.0,53.0,28.0,53.1,Minnesota Wild,vs,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-10-29,0,1,3,11.1,87.5,16.0,24.0,45.0,Minnesota Wild,@,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-11-01,0,1,5,25.0,66.7,24.0,35.0,44.4,Edmonton Oilers,@,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-11-03,0,1,2,0.0,100.0,17.0,31.0,39.7,Calgary Flames,@,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-11-04,0,3,5,16.7,66.7,24.0,26.0,49.2,Vancouver Canucks,@,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-11-09,2,3,1,0.0,88.9,23.0,25.0,55.4,St. Louis Blues,vs,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-11-11,0,1,3,0.0,100.0,30.0,21.0,41.1,Edmonton Oilers,vs,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-11-13,0,2,8,0.0,75.0,29.0,28.0,53.0,Los Angeles Kings,vs,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-11-16,0,0,2,0.0,100.0,36.0,16.0,50.9,St. Louis Blues,vs,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-11-18,0,3,6,28.6,62.5,18.0,29.0,46.3,Dallas Stars,@,,,,,,,,,,,,,,,
Columbus Blue Jackets,2005-11-20,0,1,5,0.0,77.8,24.0,33.0,60.7,Phoenix Coyotes,@,0.5,,,1.8,,3.5,,9.605,84.33,26.45,28.9,,70.0,578.0,0.8788927335640139
Columbus Blue Jackets,2005-11-23,0,2,4,16.7,87.5,37.0,41.0,39.7,Nashville Predators,vs,0.5,,,1.75,,3.6,,9.605,84.47,25.8,29.6,,72.0,592.0,0.8783783783783784
Columbus Blue Jackets,2005-11-25,0,0,5,0.0,50.0,35.0,34.0,58.9,Colorado Avalanche,vs,0.5,,,1.8,,3.65,,9.440000000000001,83.845,26.65,29.75,,73.0,595.0,0.8773109243697479
Columbus Blue Jackets,2005-11-26,2,4,3,33.3,80.0,19.0,34.0,45.5,St. Louis Blues,@,0.4,,,1.65,,3.8,,8.190000000000001,81.97,27.05,29.85,,76.0,597.0,0.8726968174204355
