team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
St. Louis Blues,2005-10-05,0,1,5,0.0,85.7,14.0,37.0,51.8,Detroit Red Wings,@,,,,,,,,,,,,,,,
St. Louis Blues,2005-10-06,0,3,4,18.2,71.4,26.0,27.0,50.8,Detroit Red Wings,vs,,,,,,,,,,,,,,,
St. Louis Blues,2005-10-08,0,6,7,37.5,75.0,26.0,39.0,59.7,San Jose Sharks,vs,,,,,,,,,,,,,,,
St. Louis Blues,2005-10-11,2,4,1,16.7,83.3,23.0,33.0,49.1,Chicago Blackhawks,vs,,,,,,,,,,,,,,,
St. Louis Blues,2005-10-15,0,1,4,0.0,100.0,29.0,24.0,48.3,Nashville Predators,vs,,,,,,,,,,,,,,,
St. Louis Blues,2005-10-19,2,3,2,28.6,83.3,34.0,30.0,52.5,Anaheim Ducks,vs,,,,,,,,,,,,,,,
St. Louis Blues,2005-10-20,1,2,2,25.0,100.0,31.0,29.0,40.0,Nashville Predators,@,,,,,,,,,,,,,,,
St. Louis Blues,2005-10-22,0,2,3,0.0,50.0,40.0,31.0,46.2,Minnesota Wild,vs,,,,,,,,,,,,,,,
St. Louis Blues,2005-10-25,1,4,5,20.0,88.9,28.0,31.0,53.5,Phoenix Coyotes,@,,,,,,,,,,,,,,,
St. Louis Blues,2005-10-28,0,4,6,14.3,62.5,28.0,39.0,45.7,Anaheim Ducks,@,,,,,,,,,,,,,,,
St. Louis Blues,2005-10-29,0,2,5,0.0,75.0,31.0,30.0,55.1,Los Angeles Kings,@,,,,,,,,,,,,,,,
St. Louis Blues,2005-11-02,1,5,6,27.3,75.0,37.0,32.0,53.3,Chicago Blackhawks,vs,,,,,,,,,,,,,,,
St. Louis Blues,2005-11-04,0,2,7,0.0,66.7,36.0,28.0,47.1,Edmonton Oilers,vs,,,,,,,,,,,,,,,
St. Louis Blues,2005-11-06,0,1,4,12.5,80.0,27.0,25.0,45.2,Detroit Red Wings,vs,,,,,,,,,,,,,,,
St. Louis Blues,2005-11-09,0,1,3,11.1,100.0,25.0,23.0,44.6,Columbus Blue Jackets,@,,,,,,,,,,,,,,,
St. Louis Blues,2005-11-10,0,2,4,10.0,87.5,33.0,32.0,59.7,Chicago Blackhawks,vs,0.4666666666666667,,,2.7333333333333334,,4.266666666666667,,14.080000000000002,79.78666666666666,29.0,30.533333333333335,49.526666666666664,64.0,458.0,0.8602620087336245
St. Louis Blues,2005-11-12,0,1,3,0.0,75.0,27.0,29.0,49.2,Nashville Predators,@,0.4666666666666667,,,2.8,,4.2,,14.746666666666668,79.90666666666667,30.266666666666666,30.2,50.053333333333335,63.0,453.0,0.8609271523178808
