team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Boston Bruins,2005-10-05,0,1,2,0.0,80.0,30.0,21.0,56.5,Montréal Canadiens,vs,,,,,,,,,,,,,,,
Boston Bruins,2005-10-07,0,1,4,0.0,71.4,36.0,41.0,42.7,Buffalo Sabres,@,,,,,,,,,,,,,,,
Boston Bruins,2005-10-08,2,7,6,28.6,77.8,41.0,29.0,48.8,Pittsburgh Penguins,@,,,,,,,,,,,,,,,
Boston Bruins,2005-10-10,2,4,2,14.3,100.0,24.0,28.0,50.0,Tampa Bay Lightning,@,,,,,,,,,,,,,,,
Boston Bruins,2005-10-13,2,5,2,50.0,100.0,26.0,35.0,57.1,Florida Panthers,@,,,,,,,,,,,,,,,
Boston Bruins,2005-10-15,0,1,5,0.0,85.7,35.0,42.0,53.7,Ottawa Senators,@,,,,,,,,,,,,,,,
Boston Bruins,2005-10-18,0,3,4,20.0,57.1,23.0,38.0,55.7,Montréal Canadiens,@,,,,,,,,,,,,,,,
Boston Bruins,2005-10-20,0,3,4,20.0,71.4,32.0,37.0,54.1,Buffalo Sabres,vs,,,,,,,,,,,,,,,
Boston Bruins,2005-10-22,2,6,3,30.8,87.5,47.0,21.0,65.9,Pittsburgh Penguins,vs,,,,,,,,,,,,,,,
Boston Bruins,2005-10-24,1,4,4,0.0,50.0,53.0,32.0,50.0,Toronto Maple Leafs,@,,,,,,,,,,,,,,,
Boston Bruins,2005-10-26,1,3,4,50.0,100.0,27.0,33.0,50.8,Carolina Hurricanes,@,,,,,,,,,,,,,,,
Boston Bruins,2005-10-27,2,2,1,33.3,80.0,30.0,37.0,52.1,Toronto Maple Leafs,vs,,,,,,,,,,,,,,,
Boston Bruins,2005-10-29,1,4,4,0.0,88.9,31.0,34.0,57.5,New Jersey Devils,vs,,,,,,,,,,,,,,,
Boston Bruins,2005-11-01,1,3,4,0.0,100.0,32.0,23.0,61.8,New York Islanders,@,,,,,,,,,,,,,,,
Boston Bruins,2005-11-03,2,4,1,16.7,100.0,33.0,30.0,49.3,Florida Panthers,vs,,,,,,,,,,,,,,,
Boston Bruins,2005-11-05,2,6,3,40.0,90.0,32.0,29.0,49.2,Pittsburgh Penguins,vs,,,,,,,,,,,,,,,
Boston Bruins,2005-11-08,1,3,4,33.3,80.0,30.0,36.0,62.0,Philadelphia Flyers,@,,,,,,,,,,,,,,,
Boston Bruins,2005-11-10,0,2,5,25.0,100.0,39.0,30.0,61.5,Ottawa Senators,vs,,,,,,,,,,,,,,,
Boston Bruins,2005-11-12,0,2,5,0.0,80.0,31.0,31.0,54.4,New York Islanders,@,,,,,,,,,,,,,,,
Boston Bruins,2005-11-17,0,1,4,25.0,71.4,32.0,26.0,53.2,Toronto Maple Leafs,vs,,,,,,,,,,,,,,,
Boston Bruins,2005-11-19,0,2,3,25.0,80.0,22.0,24.0,61.3,Buffalo Sabres,vs,0.95,,,3.25,,3.55,,19.35,83.56,33.2,31.65,54.315,71.0,633.0,0.8878357030015798
Boston Bruins,2005-11-20,0,2,3,50.0,75.0,34.0,32.0,58.0,New York Rangers,@,0.95,,,3.3,,3.6,,20.6,83.56,32.8,31.8,54.55499999999999,72.0,636.0,0.8867924528301887
Boston Bruins,2005-11-23,2,5,1,33.3,100.0,37.0,21.0,53.3,Toronto Maple Leafs,@,0.95,,,3.35,,3.55,,23.1,83.74,32.7,31.35,55.31999999999999,71.0,627.0,0.886762360446571
Boston Bruins,2005-11-25,0,3,5,0.0,66.7,28.0,27.0,43.1,Philadelphia Flyers,vs,0.95,,,3.25,,3.3,,23.335,84.85,32.5,30.95,55.545,66.0,619.0,0.8933764135702746
Boston Bruins,2005-11-26,0,2,4,0.0,60.0,24.0,40.0,52.6,Ottawa Senators,@,0.85,,,3.2,,3.45,,22.62,83.185,32.7,30.9,55.2,69.0,618.0,0.8883495145631068
Boston Bruins,2005-11-29,0,2,3,33.3,100.0,23.0,34.0,49.2,New Jersey Devils,@,0.75,,,3.05,,3.55,,20.119999999999997,81.185,32.6,31.15,54.975,71.0,623.0,0.8860353130016051
Boston Bruins,2005-12-01,2,3,0,12.5,100.0,24.0,26.0,52.0,Ottawa Senators,vs,0.75,,,3.1,,3.45,,21.784999999999997,81.9,32.0,30.75,54.75,69.0,615.0,0.8878048780487805
Boston Bruins,2005-12-03,2,5,4,0.0,50.0,26.0,40.0,54.4,Edmonton Oilers,@,0.85,,,3.1,,3.25,,21.409999999999997,84.045,32.05,30.15,54.565,65.0,603.0,0.8922056384742952
Boston Bruins,2005-12-04,0,2,5,14.3,75.0,27.0,39.0,50.7,Vancouver Canucks,@,0.95,,,3.2,,3.25,,20.409999999999997,82.975,31.75,30.3,54.580000000000005,65.0,606.0,0.8927392739273927
Boston Bruins,2005-12-07,0,1,4,0.0,60.0,21.0,27.0,41.3,Colorado Avalanche,@,0.85,,,3.0,,3.35,,19.585,82.35,30.75,31.2,53.82000000000001,67.0,624.0,0.8926282051282052
Boston Bruins,2005-12-11,1,1,2,16.7,85.7,19.0,32.0,41.4,Phoenix Coyotes,vs,0.8,,,2.85,,3.35,,19.585,82.85,29.15,30.95,53.385000000000005,67.0,619.0,0.8917609046849758
Boston Bruins,2005-12-15,2,3,2,0.0,50.0,28.0,31.0,40.4,Minnesota Wild,@,0.8,,,2.75,,3.25,,17.919999999999998,82.13499999999999,28.75,30.9,52.915,65.0,618.0,0.8948220064724919
Boston Bruins,2005-12-17,0,0,3,0.0,75.0,26.0,29.0,58.6,Calgary Flames,@,0.8,,,2.8,,3.3,,16.255000000000003,80.63499999999999,28.65,30.6,52.330000000000005,66.0,612.0,0.8921568627450981
Boston Bruins,2005-12-22,2,4,1,12.5,100.0,25.0,27.0,52.5,Toronto Maple Leafs,vs,0.75,,,2.6,,3.25,,16.255000000000003,79.94000000000001,28.4,30.35,52.385000000000005,65.0,607.0,0.8929159802306426
Boston Bruins,2005-12-23,0,1,2,25.0,80.0,26.0,28.0,49.2,Toronto Maple Leafs,@,0.8,,,2.65,,3.1,,16.880000000000003,79.94000000000001,28.05,30.55,51.919999999999995,62.0,611.0,0.8985270049099836
Boston Bruins,2005-12-27,2,4,3,0.0,75.0,43.0,18.0,51.8,Washington Capitals,@,0.7,,,2.5,,3.15,,17.294999999999998,78.94000000000001,27.7,30.45,51.915,63.0,609.0,0.896551724137931
Boston Bruins,2005-12-28,0,4,6,14.3,100.0,39.0,27.0,51.7,Florida Panthers,@,0.7,,,2.4,,3.15,,15.294999999999998,78.19000000000001,28.25,29.9,52.044999999999995,63.0,598.0,0.8946488294314381
Boston Bruins,2005-12-30,2,2,1,0.0,100.0,24.0,32.0,54.2,Tampa Bay Lightning,@,0.65,,,2.45,,3.25,,14.344999999999999,79.19000000000001,28.7,29.45,51.529999999999994,65.0,589.0,0.8896434634974533
Boston Bruins,2006-01-02,0,0,1,0.0,100.0,27.0,21.0,64.7,Philadelphia Flyers,vs,0.75,,,2.45,,3.05,,13.094999999999999,79.19000000000001,27.95,29.55,51.165,61.0,591.0,0.8967851099830795
Boston Bruins,2006-01-05,2,4,2,33.3,100.0,38.0,35.0,62.5,Ottawa Senators,vs,0.75,,,2.35,,2.85,,13.094999999999999,80.19000000000001,27.75,29.05,51.67999999999999,57.0,581.0,0.9018932874354562
Boston Bruins,2006-01-07,2,6,3,0.0,100.0,34.0,32.0,66.7,Tampa Bay Lightning,vs,0.85,0.9,,2.5,2.875,2.75,3.15,13.51,81.62,28.05,29.5,52.144999999999996,55.0,590.0,0.9067796610169492
Boston Bruins,2006-01-10,0,2,6,33.3,66.7,23.0,33.0,50.0,San Jose Sharks,vs,0.95,0.95,,2.7,3.0,2.75,3.175,12.26,82.62,28.65,29.9,52.415,55.0,598.0,0.9080267558528428
Boston Bruins,2006-01-12,0,0,6,0.0,83.3,30.0,42.0,52.0,Los Angeles Kings,vs,0.95,0.95,,2.7,3.025,2.9,3.225,11.425,82.205,28.1,29.95,52.015,58.0,599.0,0.9031719532554258
Boston Bruins,2006-01-14,1,1,1,0.0,100.0,27.0,38.0,56.9,Dallas Stars,vs,0.85,0.9,,2.45,2.85,3.15,3.225,9.76,81.37,27.75,31.0,51.95,63.0,620.0,0.8983870967741936
Boston Bruins,2006-01-16,2,4,3,0.0,77.8,24.0,28.0,55.9,Anaheim Ducks,vs,0.9,0.875,,2.35,2.775,2.95,3.2,9.76,83.035,27.7,31.55,52.64,59.0,631.0,0.9064976228209192
Boston Bruins,2006-01-19,2,5,2,33.3,80.0,18.0,37.0,55.7,Philadelphia Flyers,@,1.0,0.875,,2.45,2.75,2.9,3.225,9.76,83.925,27.7,30.95,52.80499999999999,58.0,619.0,0.9063004846526656
Boston Bruins,2006-01-21,1,2,2,16.7,100.0,31.0,29.0,53.1,New York Rangers,vs,1.1,0.925,,2.6,2.85,2.85,3.15,9.76,82.925,27.45,31.1,53.129999999999995,57.0,622.0,0.9083601286173634
Boston Bruins,2006-01-23,2,3,2,0.0,100.0,33.0,24.0,52.9,Washington Capitals,@,1.05,0.95,,2.55,2.825,2.95,3.1,9.969999999999999,82.925,27.8,31.25,53.185,59.0,625.0,0.9056
Boston Bruins,2006-01-24,2,3,2,11.1,80.0,32.0,24.0,41.7,Atlanta Thrashers,@,1.05,1.0,,2.45,2.825,2.85,3.05,9.969999999999999,85.425,28.15,30.45,53.11,57.0,609.0,0.9064039408866995
Boston Bruins,2006-01-26,2,3,2,20.0,66.7,32.0,34.0,46.3,Washington Capitals,vs,1.15,1.0,,2.5,2.75,2.7,3.025,9.809999999999999,85.675,28.4,29.7,52.660000000000004,54.0,594.0,0.9090909090909091
