team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Anaheim Ducks,2005-10-05,2,5,3,22.2,88.9,24.0,39.0,56.1,Chicago Blackhawks,@,,,,,,,,,,,,,,,
Anaheim Ducks,2005-10-08,1,2,2,0.0,75.0,35.0,35.0,46.9,Nashville Predators,@,,,,,,,,,,,,,,,
Anaheim Ducks,2005-10-10,0,2,4,0.0,62.5,33.0,32.0,50.8,Edmonton Oilers,vs,,,,,,,,,,,,,,,
Anaheim Ducks,2005-10-14,2,4,3,16.7,77.8,36.0,19.0,48.4,Columbus Blue Jackets,vs,,,,,,,,,,,,,,,
Anaheim Ducks,2005-10-16,0,1,4,0.0,75.0,29.0,22.0,52.3,Minnesota Wild,@,,,,,,,,,,,,,,,
Anaheim Ducks,2005-10-19,0,2,3,16.7,71.4,30.0,34.0,47.5,St. Louis Blues,@,1.0,,,2.8,,3.2,,7.779999999999999,75.84,31.4,29.4,50.9,16.0,147.0,0.891156462585034
Anaheim Ducks,2005-10-21,0,2,3,25.0,62.5,25.0,39.0,45.2,Detroit Red Wings,@,0.6,,,2.2,,3.2,,6.68,72.34,32.6,28.4,49.18,16.0,142.0,0.8873239436619719
Anaheim Ducks,2005-10-23,2,5,3,33.3,71.4,28.0,27.0,47.1,Phoenix Coyotes,vs,0.4,,,2.2,,3.4,,11.68,69.84,30.6,29.2,48.839999999999996,17.0,146.0,0.8835616438356164
Anaheim Ducks,2005-10-25,0,1,3,0.0,87.5,30.0,33.0,46.6,Los Angeles Kings,@,0.8,,,2.8,,3.2,,18.339999999999996,71.62,29.6,28.2,48.1,16.0,141.0,0.8865248226950354
Anaheim Ducks,2005-10-26,2,4,1,50.0,85.7,31.0,26.0,55.7,Calgary Flames,vs,0.4,,,2.2,,3.2,,15.0,73.56,28.4,31.0,47.74,16.0,155.0,0.896774193548387
Anaheim Ducks,2005-10-28,2,6,4,37.5,85.7,39.0,28.0,54.3,St. Louis Blues,vs,0.8,0.9,,2.8,2.8,2.6,2.9,25.0,75.7,28.8,31.8,48.42,13.0,159.0,0.9182389937106918
Anaheim Ducks,2005-10-30,2,3,2,25.0,85.7,27.0,36.0,50.0,Phoenix Coyotes,vs,1.2,0.9,,3.6,2.9,2.8,3.0,29.160000000000004,78.56,30.6,30.6,49.78,14.0,153.0,0.9084967320261438
Anaheim Ducks,2005-11-01,2,4,1,20.0,100.0,35.0,33.0,47.5,Nashville Predators,vs,1.6,1.0,,3.8,3.0,2.6,3.0,29.160000000000004,83.2,31.0,30.0,50.74,13.0,150.0,0.9133333333333333
Anaheim Ducks,2005-11-03,0,3,4,33.3,100.0,23.0,32.0,49.1,Colorado Avalanche,@,1.6,1.2,,3.6,3.2,2.2,2.7,26.5,88.92,32.4,31.2,50.82000000000001,11.0,156.0,0.9294871794871795
Anaheim Ducks,2005-11-04,1,0,1,0.0,85.7,21.0,32.0,50.8,San Jose Sharks,vs,1.6,1.0,,4.0,3.1,2.4,2.8,33.16,91.42,31.0,31.0,51.32000000000001,12.0,155.0,0.9225806451612903
Anaheim Ducks,2005-11-06,1,3,3,11.1,100.0,42.0,21.0,55.6,Minnesota Wild,vs,1.4,1.1,,3.2,3.0,2.4,2.5,23.159999999999997,91.41999999999999,29.0,32.2,50.339999999999996,12.0,161.0,0.9254658385093167
Anaheim Ducks,2005-11-12,1,1,2,0.0,100.0,44.0,30.0,55.2,Phoenix Coyotes,@,1.2,1.2,,2.6,3.1,2.2,2.5,17.88,94.28,29.6,30.8,50.6,11.0,154.0,0.9285714285714286
Anaheim Ducks,2005-11-13,0,1,3,0.0,83.3,41.0,19.0,58.2,Dallas Stars,vs,1.0,1.3,,2.2,3.0,2.2,2.4,12.88,97.14,33.0,29.6,51.64,11.0,148.0,0.9256756756756757
Anaheim Ducks,2005-11-16,0,2,4,20.0,90.0,32.0,38.0,56.7,Dallas Stars,vs,0.6,1.1,,1.6,2.6,2.6,2.4,8.879999999999999,93.8,34.2,26.8,53.779999999999994,13.0,134.0,0.9029850746268657
