team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Philadelphia Flyers,2005-10-05,0,3,5,10.0,50.0,27.0,27.0,48.4,New York Rangers,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-10-07,2,5,2,0.0,77.8,33.0,28.0,51.4,New Jersey Devils,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-10-11,0,2,4,0.0,83.3,33.0,22.0,51.6,Toronto Maple Leafs,@,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-10-14,2,6,5,25.0,66.7,41.0,20.0,57.1,Pittsburgh Penguins,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-10-15,2,5,1,16.7,88.9,46.0,20.0,47.7,New York Islanders,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-10-22,2,5,2,12.5,75.0,32.0,24.0,59.7,Toronto Maple Leafs,@,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-10-25,1,2,3,25.0,90.0,22.0,29.0,42.4,Montréal Canadiens,@,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-10-27,2,5,4,14.3,62.5,40.0,34.0,52.4,Florida Panthers,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-10-28,0,6,8,44.4,57.1,34.0,37.0,44.1,Carolina Hurricanes,@,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-10-30,2,5,3,30.0,77.8,32.0,42.0,41.5,Ottawa Senators,@,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-03,2,8,1,25.0,100.0,43.0,30.0,50.8,Washington Capitals,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-05,2,4,3,28.6,75.0,18.0,31.0,45.9,Atlanta Thrashers,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-08,2,4,3,20.0,66.7,36.0,30.0,38.0,Boston Bruins,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-10,2,3,2,0.0,60.0,30.0,40.0,45.6,New York Islanders,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-12,2,5,4,20.0,100.0,39.0,30.0,47.5,Florida Panthers,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-14,0,2,5,50.0,66.7,24.0,33.0,34.0,Tampa Bay Lightning,@,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-16,1,2,3,28.6,85.7,47.0,29.0,52.5,Pittsburgh Penguins,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-18,1,5,6,33.3,60.0,36.0,36.0,55.4,Atlanta Thrashers,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-19,2,6,3,0.0,71.4,29.0,30.0,51.7,Pittsburgh Penguins,@,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-22,0,2,4,25.0,100.0,32.0,25.0,54.4,Tampa Bay Lightning,vs,,,,,,,,,,,,,,,
Philadelphia Flyers,2005-11-25,2,5,3,33.3,100.0,27.0,28.0,56.9,Boston Bruins,@,1.35,,,4.25,,3.55,,20.419999999999998,75.72999999999999,33.7,29.85,48.605000000000004,71.0,597.0,0.88107202680067
Philadelphia Flyers,2005-11-26,0,2,4,0.0,75.0,36.0,21.0,68.3,New York Islanders,vs,1.45,,,4.35,,3.45,,21.585,78.22999999999999,33.7,29.9,49.03,69.0,598.0,0.8846153846153846
Philadelphia Flyers,2005-11-29,2,4,3,16.7,50.0,35.0,23.0,64.4,New York Islanders,@,1.35,,,4.2,,3.55,,21.585,78.09,33.85,29.55,49.875,71.0,591.0,0.8798646362098139
Philadelphia Flyers,2005-11-30,2,2,1,0.0,100.0,33.0,31.0,54.2,New Jersey Devils,vs,1.45,,,4.3,,3.5,,22.419999999999998,76.425,33.95,29.6,50.515,70.0,592.0,0.8817567567567568
Philadelphia Flyers,2005-12-03,1,3,3,16.7,85.7,33.0,32.0,47.1,Nashville Predators,@,1.45,,,4.1,,3.3,,21.169999999999998,78.09,33.55,30.15,50.37,66.0,603.0,0.8905472636815921
Philadelphia Flyers,2005-12-06,2,0,0,0.0,100.0,37.0,28.0,49.0,Calgary Flames,vs,1.4,,,4.0,,3.4,,21.169999999999998,77.92999999999999,32.9,30.75,50.339999999999996,68.0,615.0,0.8894308943089431
Philadelphia Flyers,2005-12-08,0,2,3,12.5,80.0,32.0,28.0,46.8,Edmonton Oilers,vs,1.4,,,3.75,,3.3,,20.544999999999998,79.17999999999999,33.15,30.95,49.805,66.0,619.0,0.8933764135702746
Philadelphia Flyers,2005-12-10,2,3,2,14.3,83.3,21.0,25.0,48.9,Minnesota Wild,vs,1.35,,,3.75,,3.3,,19.919999999999998,78.67999999999999,33.65,30.9,50.025,66.0,618.0,0.8932038834951457
Philadelphia Flyers,2005-12-13,2,3,1,0.0,87.5,31.0,24.0,44.2,Columbus Blue Jackets,@,1.35,,,3.65,,3.2,,19.919999999999998,79.72,32.7,30.45,49.85,64.0,609.0,0.8949096880131363
Philadelphia Flyers,2005-12-15,0,4,5,20.0,50.0,43.0,26.0,42.2,Vancouver Canucks,vs,1.45,,,3.5,,2.85,,17.7,81.24,32.55,29.8,49.855000000000004,57.0,596.0,0.9043624161073825
Philadelphia Flyers,2005-12-17,2,5,2,20.0,83.3,27.0,31.0,50.0,St. Louis Blues,@,1.35,,,3.45,,2.95,,17.2,79.85,33.1,29.0,49.89,59.0,580.0,0.8982758620689655
Philadelphia Flyers,2005-12-19,1,1,1,16.7,100.0,34.0,28.0,47.4,Buffalo Sabres,vs,1.35,,,3.3,,3.0,,16.95,79.01500000000001,32.3,29.05,49.85,60.0,581.0,0.8967297762478486
Philadelphia Flyers,2005-12-22,2,4,3,50.0,85.7,30.0,28.0,55.1,Ottawa Senators,vs,1.3,,,3.15,,2.9,,16.355,80.26500000000001,33.1,28.9,49.925,58.0,578.0,0.8996539792387543
