team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Vegas Golden Knights,2017-10-06,2,2,1,0.0,75.0,30.0,46.0,42.4,Dallas Stars,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-10-07,2,2,1,0.0,100.0,42.0,28.0,60.7,Arizona Coyotes,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-10-10,2,5,2,33.3,100.0,28.0,33.0,68.1,Arizona Coyotes,vs,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-10-13,0,3,6,0.0,100.0,27.0,27.0,41.5,Detroit Red Wings,vs,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-10-15,2,3,1,0.0,100.0,26.0,22.0,66.7,Boston Bruins,vs,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-10-17,2,5,4,20.0,40.0,31.0,34.0,48.4,Buffalo Sabres,vs,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-10-21,2,3,2,66.7,100.0,22.0,49.0,46.5,St. Louis Blues,vs,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-10-24,2,4,2,20.0,100.0,33.0,31.0,49.2,Chicago Blackhawks,vs,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-10-27,2,7,0,20.0,100.0,21.0,32.0,58.3,Colorado Avalanche,vs,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-10-30,0,3,6,40.0,60.0,34.0,30.0,46.6,New York Islanders,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-10-31,0,4,6,0.0,60.0,34.0,38.0,41.5,New York Rangers,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-11-02,0,1,2,0.0,100.0,29.0,28.0,49.2,Boston Bruins,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-11-04,2,5,4,60.0,100.0,34.0,28.0,45.6,Ottawa Senators,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-11-06,1,3,3,33.3,75.0,28.0,25.0,50.9,Toronto Maple Leafs,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-11-07,0,2,3,0.0,100.0,31.0,28.0,50.8,Montréal Canadiens,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-11-10,2,5,2,25.0,83.3,27.0,29.0,33.3,Winnipeg Jets,vs,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-11-14,0,2,8,0.0,0.0,24.0,31.0,63.5,Edmonton Oilers,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-11-16,2,5,2,20.0,100.0,30.0,21.0,49.3,Vancouver Canucks,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-11-19,2,4,2,0.0,100.0,40.0,29.0,48.4,Los Angeles Kings,vs,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-11-22,2,4,2,33.3,75.0,49.0,19.0,39.4,Anaheim Ducks,@,,,,,,,,,,,,,,,
Vegas Golden Knights,2017-11-24,2,5,4,50.0,50.0,33.0,26.0,58.1,San Jose Sharks,vs,1.35,,,3.6,,2.95,,18.580000000000002,83.41499999999999,31.0,30.4,50.015,59.0,608.0,0.9029605263157895
Vegas Golden Knights,2017-11-25,2,4,2,20.0,100.0,28.0,26.0,54.2,Arizona Coyotes,@,1.35,,,3.75,,3.1,,21.080000000000002,82.16499999999999,31.15,29.4,50.8,62.0,588.0,0.8945578231292517
Vegas Golden Knights,2017-11-28,0,0,3,0.0,100.0,34.0,30.0,50.8,Dallas Stars,vs,1.35,,,3.85,,3.15,,22.080000000000002,82.16499999999999,30.45,29.3,50.475,63.0,586.0,0.8924914675767918
Vegas Golden Knights,2017-11-30,0,2,4,0.0,100.0,31.0,32.0,44.2,Minnesota Wild,@,1.25,,,3.6,,3.2,,20.415,82.16499999999999,30.75,29.15,49.61,64.0,583.0,0.8902229845626072
Vegas Golden Knights,2017-12-01,0,4,7,0.0,40.0,31.0,38.0,40.9,Winnipeg Jets,@,1.25,,,3.55,,3.1,,20.415,82.16499999999999,30.95,29.4,49.745000000000005,62.0,588.0,0.8945578231292517
Vegas Golden Knights,2017-12-03,2,3,2,20.0,0.0,45.0,33.0,60.6,Arizona Coyotes,vs,1.15,,,3.6,,3.4,,20.415,79.16499999999999,31.2,30.2,48.455,68.0,604.0,0.8874172185430463
Vegas Golden Knights,2017-12-05,2,3,3,0.0,66.7,43.0,29.0,58.2,Anaheim Ducks,vs,1.15,,,3.5,,3.3,,20.415,77.16499999999999,31.9,30.15,49.065000000000005,66.0,603.0,0.8905472636815921
Vegas Golden Knights,2017-12-08,2,3,3,25.0,100.0,39.0,44.0,45.2,Nashville Predators,@,1.15,,,3.5,,3.35,,17.080000000000002,75.5,32.95,29.15,49.65,67.0,583.0,0.8850771869639794
Vegas Golden Knights,2017-12-09,2,5,3,50.0,100.0,39.0,39.0,51.6,Dallas Stars,@,1.15,,,3.45,,3.4,,17.330000000000002,75.5,33.25,29.8,49.45,68.0,596.0,0.8859060402684564
Vegas Golden Knights,2017-12-12,1,2,2,0.0,100.0,24.0,37.0,47.7,Carolina Hurricanes,vs,1.15,,,3.35,,3.55,,18.830000000000002,75.5,34.15,30.15,49.115,71.0,603.0,0.8822553897180763
Vegas Golden Knights,2017-12-14,2,2,1,0.0,100.0,26.0,25.0,34.6,Pittsburgh Penguins,vs,1.2,,,3.3,,3.35,,16.830000000000002,77.5,33.65,30.5,49.17,67.0,610.0,0.8901639344262295
Vegas Golden Knights,2017-12-17,2,5,2,0.0,66.7,40.0,18.0,56.5,Florida Panthers,vs,1.3,,,3.2,,3.1,,16.830000000000002,79.5,33.25,29.85,48.825,62.0,597.0,0.8961474036850922
Vegas Golden Knights,2017-12-19,2,4,3,80.0,50.0,36.0,38.0,52.4,Tampa Bay Lightning,vs,1.4,,,3.4,,3.1,,16.830000000000002,77.83500000000001,33.8,29.35,49.19,62.0,587.0,0.8943781942078365
Vegas Golden Knights,2017-12-23,2,3,0,0.0,100.0,28.0,26.0,50.9,Washington Capitals,vs,1.4,,,3.35,,3.05,,17.830000000000002,75.33500000000001,33.9,29.85,49.529999999999994,61.0,597.0,0.897822445561139
Vegas Golden Knights,2017-12-27,2,4,1,0.0,100.0,28.0,28.0,49.1,Anaheim Ducks,@,1.45,,,3.35,,2.9,,16.165,76.58500000000001,33.9,29.9,49.53,58.0,598.0,0.903010033444816
Vegas Golden Knights,2017-12-28,2,3,2,0.0,100.0,39.0,28.0,49.0,Los Angeles Kings,@,1.55,,,3.45,,2.8,,16.165,76.58500000000001,33.75,29.9,49.445,56.0,598.0,0.9063545150501672
Vegas Golden Knights,2017-12-31,2,6,3,0.0,100.0,31.0,23.0,46.3,Toronto Maple Leafs,vs,1.55,,,3.35,,2.8,,14.914999999999997,77.42,34.35,29.85,50.23,56.0,597.0,0.9061976549413735
Vegas Golden Knights,2018-01-02,2,3,0,100.0,100.0,31.0,29.0,44.6,Nashville Predators,vs,1.65,,,3.55,,2.55,,14.914999999999997,82.42,34.7,29.45,49.37,51.0,589.0,0.9134125636672326
Vegas Golden Knights,2018-01-04,0,1,2,0.0,100.0,33.0,39.0,39.2,St. Louis Blues,@,1.65,,,3.45,,2.45,,18.915,82.42,34.75,29.85,49.135000000000005,49.0,597.0,0.9179229480737019
Vegas Golden Knights,2018-01-05,2,5,4,0.0,100.0,43.0,32.0,44.6,Chicago Blackhawks,@,1.55,,,3.3,,2.45,,18.915,82.42,34.4,30.35,48.675,49.0,607.0,0.9192751235584844
Vegas Golden Knights,2018-01-07,2,2,1,0.0,100.0,34.0,29.0,46.0,New York Rangers,vs,1.55,1.45,,3.35,3.475,2.55,2.75,17.25,83.67,34.1,31.0,48.935,51.0,620.0,0.917741935483871
Vegas Golden Knights,2018-01-13,1,2,3,0.0,100.0,36.0,30.0,63.2,Edmonton Oilers,vs,1.55,1.45,,3.2,3.475,2.4,2.75,14.75,86.17,34.15,31.15,48.33,48.0,623.0,0.9229534510433387
Vegas Golden Knights,2018-01-16,0,0,1,0.0,100.0,43.0,27.0,54.8,Nashville Predators,@,1.5,1.425,,3.1,3.475,2.45,2.8,13.75,86.17,34.55,31.35,48.78,49.0,627.0,0.9218500797448166
Vegas Golden Knights,2018-01-18,2,4,1,0.0,66.7,30.0,29.0,41.8,Tampa Bay Lightning,@,1.5,1.375,,3.1,3.35,2.35,2.775,13.75,86.17,35.0,31.2,48.980000000000004,47.0,624.0,0.9246794871794872
Vegas Golden Knights,2018-01-19,1,3,4,0.0,100.0,36.0,26.0,48.3,Florida Panthers,@,1.6,1.425,,3.2,3.375,2.2,2.65,13.75,84.50500000000001,34.95,31.05,48.86,44.0,621.0,0.92914653784219
Vegas Golden Knights,2018-01-21,2,5,1,50.0,75.0,33.0,28.0,37.0,Carolina Hurricanes,@,1.65,1.4,,3.15,3.375,2.05,2.725,13.75,87.50500000000001,35.2,30.45,49.230000000000004,41.0,609.0,0.9326765188834154
Vegas Golden Knights,2018-01-23,2,6,3,66.7,100.0,38.0,32.0,42.7,Columbus Blue Jackets,vs,1.65,1.4,,3.25,3.375,2.0,2.65,15.25,91.25500000000001,34.6,30.2,48.05,40.0,604.0,0.9337748344370861
Vegas Golden Knights,2018-01-25,0,1,2,50.0,100.0,39.0,25.0,50.8,New York Islanders,vs,1.65,1.4,,3.4,3.45,2.0,2.675,18.585,92.92,34.35,30.35,47.275,40.0,607.0,0.9341021416803954
Vegas Golden Knights,2018-01-30,2,4,2,50.0,100.0,35.0,33.0,49.2,Calgary Flames,@,1.55,1.35,,3.3,3.375,1.95,2.675,19.835,92.92,34.35,29.4,47.555,39.0,588.0,0.9336734693877551
Vegas Golden Knights,2018-02-01,2,3,2,50.0,100.0,31.0,28.0,50.0,Winnipeg Jets,@,1.55,1.35,,3.25,3.3,1.9,2.725,19.835,92.92,34.15,29.1,47.434999999999995,38.0,582.0,0.9347079037800687
Vegas Golden Knights,2018-02-02,0,2,5,66.7,50.0,24.0,35.0,48.1,Minnesota Wild,@,1.6,1.4,,3.3,3.3,1.9,2.625,22.335,92.92,34.5,28.65,47.55,38.0,573.0,0.9336823734729494
Vegas Golden Knights,2018-02-04,2,4,3,100.0,100.0,31.0,23.0,57.8,Washington Capitals,@,1.5,1.4,,3.3,3.25,2.1,2.6,25.669999999999998,90.42,34.4,29.15,48.225,42.0,583.0,0.9279588336192109
Vegas Golden Knights,2018-02-06,0,4,5,33.3,100.0,25.0,38.0,44.8,Pittsburgh Penguins,@,1.5,1.45,,3.25,3.325,2.15,2.625,30.669999999999998,92.08500000000001,33.95,29.4,48.290000000000006,43.0,588.0,0.9268707482993197
Vegas Golden Knights,2018-02-08,2,5,3,20.0,50.0,33.0,38.0,45.2,San Jose Sharks,@,1.4,1.4,,3.25,3.3,2.25,2.65,28.335,94.58500000000001,33.4,29.4,47.910000000000004,45.0,588.0,0.923469387755102
Vegas Golden Knights,2018-02-11,0,1,4,0.0,80.0,39.0,18.0,40.6,Philadelphia Flyers,vs,1.4,1.425,,3.35,3.35,2.4,2.65,29.335,92.08500000000001,33.65,30.0,47.625,48.0,600.0,0.92
Vegas Golden Knights,2018-02-13,2,5,2,16.7,50.0,37.0,31.0,50.9,Chicago Blackhawks,vs,1.3,1.425,,3.2,3.325,2.55,2.675,29.335,91.08500000000001,34.2,29.5,47.2,51.0,590.0,0.9135593220338983
Vegas Golden Knights,2018-02-15,2,4,1,50.0,100.0,28.0,29.0,37.3,Edmonton Oilers,vs,1.3,1.425,,3.3,3.325,2.55,2.675,30.169999999999998,88.58500000000001,34.1,29.65,47.295,51.0,593.0,0.9139966273187183
Vegas Golden Knights,2018-02-17,2,6,3,50.0,50.0,34.0,33.0,45.9,Montréal Canadiens,vs,1.3,1.475,,3.2,3.375,2.45,2.5,32.67,88.58500000000001,33.95,29.95,46.845,49.0,599.0,0.9181969949916527
Vegas Golden Knights,2018-02-19,0,0,2,0.0,80.0,33.0,20.0,50.0,Anaheim Ducks,vs,1.3,1.475,,3.35,3.4,2.6,2.525,30.169999999999998,86.08500000000001,34.1,30.15,46.91,52.0,603.0,0.9137645107794361
Vegas Golden Knights,2018-02-21,2,7,3,50.0,0.0,26.0,31.0,52.1,Calgary Flames,vs,1.3,1.425,,3.3,3.3,2.6,2.525,30.169999999999998,85.08500000000001,34.1,29.2,47.45,52.0,584.0,0.910958904109589
Vegas Golden Knights,2018-02-23,2,6,3,50.0,66.7,33.0,33.0,56.1,Vancouver Canucks,vs,1.3,1.425,1.4,3.4,3.375,2.55,2.55,32.67,80.08500000000001,33.25,29.15,47.825,51.0,583.0,0.9125214408233276
Vegas Golden Knights,2018-02-26,1,2,3,0.0,50.0,39.0,44.0,50.8,Los Angeles Kings,@,1.3,1.425,1.4,3.6,3.4,2.65,2.525,35.17,78.41999999999999,33.2,29.35,48.33,53.0,587.0,0.909710391822828
Vegas Golden Knights,2018-02-27,0,1,4,0.0,83.3,42.0,30.0,59.4,Los Angeles Kings,vs,1.3,1.4,1.3833333333333333,3.6,3.35,2.65,2.55,35.17,75.91999999999999,33.35,30.05,47.709999999999994,53.0,601.0,0.9118136439267887
Vegas Golden Knights,2018-03-02,0,4,5,50.0,80.0,29.0,38.0,44.4,Ottawa Senators,vs,1.3,1.4,1.35,3.65,3.375,2.8,2.575,35.17,75.08500000000001,33.3,30.2,47.94,56.0,604.0,0.9072847682119205
Vegas Golden Knights,2018-03-04,2,3,2,50.0,66.7,27.0,35.0,54.2,New Jersey Devils,@,1.2,1.4,1.35,3.65,3.425,3.0,2.6,37.67,75.75,33.25,30.65,48.07000000000001,60.0,613.0,0.9021207177814029
Vegas Golden Knights,2018-03-06,0,1,4,0.0,100.0,38.0,21.0,47.7,Columbus Blue Jackets,@,1.25,1.45,1.35,3.65,3.4,2.9,2.475,40.17,74.085,32.8,31.1,48.364999999999995,58.0,622.0,0.9067524115755627
Vegas Golden Knights,2018-03-08,2,4,0,0.0,100.0,32.0,28.0,56.3,Detroit Red Wings,@,1.15,1.4,1.3166666666666667,3.45,3.35,3.05,2.525,37.67,75.335,33.05,30.75,48.9,61.0,615.0,0.9008130081300812
Vegas Golden Knights,2018-03-10,2,1,1,0.0,100.0,34.0,32.0,32.2,Buffalo Sabres,@,1.15,1.4,1.3166666666666667,3.35,3.375,2.9,2.45,34.334999999999994,75.335,32.75,30.55,49.58,58.0,611.0,0.9050736497545008
Vegas Golden Knights,2018-03-12,2,3,2,100.0,75.0,29.0,40.0,40.0,Philadelphia Flyers,@,1.25,1.4,1.3166666666666667,3.35,3.325,2.85,2.4,31.834999999999997,75.335,32.5,30.9,48.65,57.0,618.0,0.9077669902912622
Vegas Golden Knights,2018-03-14,0,3,8,40.0,50.0,42.0,28.0,48.5,New Jersey Devils,vs,1.25,1.4,1.3166666666666667,3.3,3.275,2.85,2.375,34.334999999999994,74.085,32.2,31.25,48.190000000000005,57.0,625.0,0.9088
Vegas Golden Knights,2018-03-16,0,2,4,0.0,100.0,28.0,30.0,59.6,Minnesota Wild,vs,1.15,1.375,1.3166666666666667,3.3,3.3,3.15,2.525,33.834999999999994,71.585,32.75,31.25,48.115,63.0,625.0,0.8992
Vegas Golden Knights,2018-03-18,2,4,0,50.0,100.0,31.0,42.0,56.4,Calgary Flames,vs,1.15,1.325,1.3166666666666667,3.3,3.3,3.1,2.6,30.5,74.085,32.95,31.0,48.690000000000005,62.0,620.0,0.9
Vegas Golden Knights,2018-03-20,2,4,1,0.0,100.0,28.0,30.0,36.7,Vancouver Canucks,vs,1.15,1.325,1.35,3.3,3.275,2.95,2.55,28.0,74.085,32.95,31.95,48.62,59.0,639.0,0.9076682316118936
Vegas Golden Knights,2018-03-22,1,1,2,0.0,100.0,25.0,44.0,50.0,San Jose Sharks,@,1.25,1.325,1.35,3.3,3.275,2.75,2.5,26.334999999999997,74.085,33.1,31.55,48.214999999999996,55.0,631.0,0.9128367670364501
Vegas Golden Knights,2018-03-24,1,1,1,0.0,75.0,40.0,30.0,52.9,Colorado Avalanche,@,1.2,1.3,1.35,3.1,3.225,2.7,2.55,25.335,76.585,32.7,31.85,48.455,54.0,637.0,0.9152276295133438
Vegas Golden Knights,2018-03-26,2,4,1,50.0,100.0,30.0,29.0,57.7,Colorado Avalanche,vs,1.25,1.275,1.3666666666666667,3.1,3.15,2.55,2.55,25.335,76.335,32.75,32.45,49.07000000000001,51.0,649.0,0.9214175654853621
Vegas Golden Knights,2018-03-28,0,2,3,20.0,100.0,29.0,32.0,40.3,Arizona Coyotes,vs,1.25,1.275,1.3666666666666667,3.05,3.175,2.5,2.525,27.0,78.835,32.4,32.35,49.41,50.0,647.0,0.9227202472952086
Vegas Golden Knights,2018-03-30,2,4,3,0.0,100.0,26.0,24.0,40.4,St. Louis Blues,vs,1.15,1.225,1.3666666666666667,2.95,3.075,2.6,2.525,25.5,78.835,32.45,32.5,49.56,52.0,650.0,0.92
Vegas Golden Knights,2018-03-31,2,3,2,0.0,100.0,38.0,31.0,55.9,San Jose Sharks,vs,1.15,1.225,1.3666666666666667,2.85,3.1,2.6,2.6,23.0,81.335,32.05,32.05,49.285000000000004,52.0,641.0,0.9188767550702028
Vegas Golden Knights,2018-04-03,2,4,4,25.0,50.0,39.0,25.0,37.1,Vancouver Canucks,@,1.25,1.275,1.3666666666666667,3.0,3.15,2.6,2.6,23.0,82.335,32.3,32.6,49.58,52.0,652.0,0.9202453987730062
Vegas Golden Knights,2018-04-05,0,3,4,0.0,66.7,33.0,33.0,52.8,Edmonton Oilers,@,1.25,1.275,1.3666666666666667,2.85,3.125,2.65,2.6,21.75,84.835,32.95,32.3,48.83,53.0,646.0,0.9179566563467493
Vegas Golden Knights,2018-04-07,0,1,7,0.0,80.0,27.0,31.0,45.2,Calgary Flames,@,1.15,1.225,1.3333333333333333,2.7,3.15,2.7,2.675,19.25,84.83500000000001,32.95,32.3,48.665,54.0,646.0,0.9164086687306502
Vegas Golden Knights,2018-10-04,0,2,5,0.0,75.0,25.0,25.0,48.2,Philadelphia Flyers,vs,1.1,1.2,1.3,2.65,3.125,2.9,2.775,19.25,86.33500000000001,32.35,31.65,48.385000000000005,58.0,633.0,0.9083728278041074
Vegas Golden Knights,2018-10-06,2,1,1,0.0,100.0,42.0,30.0,50.0,Minnesota Wild,@,1.1,1.2,1.3,2.7,3.175,2.95,2.875,19.25,85.91999999999999,31.5,31.4,47.825,59.0,628.0,0.9060509554140127
Vegas Golden Knights,2018-10-08,0,2,4,0.0,50.0,37.0,17.0,64.6,Buffalo Sabres,@,1.2,1.2,1.3333333333333333,2.55,3.1,2.75,2.875,16.75,86.91999999999999,32.15,31.0,48.105,55.0,620.0,0.9112903225806451
Vegas Golden Knights,2018-10-10,0,2,5,0.0,50.0,31.0,29.0,51.4,Washington Capitals,@,1.1,1.175,1.3333333333333333,2.5,3.075,2.85,2.875,14.25,86.08500000000001,32.65,30.1,48.625,57.0,602.0,0.9053156146179402
Vegas Golden Knights,2018-10-11,0,2,4,0.0,100.0,37.0,22.0,46.7,Pittsburgh Penguins,@,1.1,1.125,1.3,2.55,3.0,2.9,2.975,14.25,83.58500000000001,32.3,30.5,48.809999999999995,58.0,610.0,0.9049180327868852
Vegas Golden Knights,2018-10-13,2,1,0,0.0,100.0,21.0,26.0,36.8,Philadelphia Flyers,@,1.0,1.075,1.2666666666666666,2.45,2.9,3.1,3.0,14.25,83.58500000000001,32.55,30.2,48.33,62.0,604.0,0.8973509933774835
Vegas Golden Knights,2018-10-16,2,4,1,33.3,100.0,29.0,27.0,52.3,Buffalo Sabres,vs,1.0,1.125,1.2666666666666666,2.45,2.9,3.05,2.95,14.25,83.58500000000001,31.9,29.9,48.559999999999995,61.0,598.0,0.8979933110367893
Vegas Golden Knights,2018-10-20,2,3,1,20.0,100.0,45.0,18.0,41.5,Anaheim Ducks,vs,1.0,1.125,1.2666666666666666,2.5,2.9,3.0,2.925,10.915000000000001,84.83500000000001,31.9,29.25,49.175,60.0,585.0,0.8974358974358975
Vegas Golden Knights,2018-10-24,1,2,2,0.0,100.0,35.0,26.0,50.8,Vancouver Canucks,vs,1.1,1.125,1.2833333333333334,2.5,2.9,2.65,2.9,9.915000000000001,87.33500000000001,32.05,28.75,48.825,53.0,575.0,0.9078260869565218
Vegas Golden Knights,2018-10-26,0,2,3,25.0,50.0,31.0,23.0,49.2,Tampa Bay Lightning,vs,1.15,1.15,1.2666666666666666,2.5,2.9,2.55,2.825,9.915000000000001,87.33500000000001,32.4,28.55,48.385,51.0,571.0,0.9106830122591943
Vegas Golden Knights,2018-10-28,2,4,3,20.0,50.0,53.0,22.0,52.1,Ottawa Senators,vs,1.05,1.1,1.2333333333333334,2.4,2.85,2.7,2.825,8.665000000000001,84.83500000000001,32.4,27.6,48.025,54.0,552.0,0.9021739130434783
Vegas Golden Knights,2018-10-30,0,1,4,25.0,100.0,24.0,28.0,41.5,Nashville Predators,@,1.05,1.15,1.2333333333333334,2.4,2.85,2.8,2.775,9.665000000000001,82.33500000000001,33.65,27.2,48.795,56.0,544.0,0.8970588235294118
Vegas Golden Knights,2018-11-01,0,3,5,33.3,66.7,34.0,26.0,42.4,St. Louis Blues,@,1.0,1.1,1.2,2.4,2.75,2.9,2.8,10.915000000000001,82.33500000000001,33.6,26.4,48.370000000000005,58.0,528.0,0.8901515151515151
Vegas Golden Knights,2018-11-03,2,3,0,0.0,100.0,25.0,34.0,45.0,Carolina Hurricanes,vs,0.95,1.1,1.1666666666666667,2.5,2.8,3.1,2.825,12.58,81.92,33.3,26.2,47.845,62.0,524.0,0.8816793893129771
Vegas Golden Knights,2018-11-06,0,1,3,0.0,100.0,37.0,21.0,39.0,Toronto Maple Leafs,@,0.95,1.1,1.1666666666666667,2.45,2.75,3.05,2.775,10.08,81.92,33.05,26.45,47.21,61.0,529.0,0.8846880907372401
Vegas Golden Knights,2018-11-08,2,5,3,100.0,100.0,42.0,30.0,50.0,Ottawa Senators,@,0.95,1.05,1.1333333333333333,2.4,2.675,3.05,2.825,9.08,81.92,33.45,25.9,47.144999999999996,61.0,518.0,0.8822393822393823
Vegas Golden Knights,2018-11-10,0,4,5,66.7,100.0,38.0,27.0,60.9,Montréal Canadiens,@,0.95,1.05,1.1333333333333333,2.45,2.65,3.05,2.825,14.080000000000002,81.92,34.25,26.2,47.625,61.0,524.0,0.8835877862595419
Vegas Golden Knights,2018-11-11,0,1,4,0.0,85.7,38.0,37.0,41.8,Boston Bruins,@,0.85,1.05,1.1333333333333333,2.5,2.75,3.2,2.9,17.415,81.92,34.25,26.0,47.875,64.0,520.0,0.8769230769230769
Vegas Golden Knights,2018-11-14,2,5,0,16.7,100.0,25.0,29.0,40.7,Anaheim Ducks,vs,0.75,1.0,1.1,2.35,2.6,3.2,2.925,16.165,83.70500000000001,34.2,26.6,48.11,64.0,532.0,0.8796992481203008
Vegas Golden Knights,2018-11-16,0,1,4,0.0,100.0,33.0,35.0,49.1,St. Louis Blues,vs,0.85,1.0,1.1,2.45,2.575,3.0,2.85,17.0,85.37,33.8,26.4,47.505,60.0,528.0,0.8863636363636364
Vegas Golden Knights,2018-11-18,2,6,3,50.0,50.0,31.0,32.0,47.1,Edmonton Oilers,@,0.85,0.975,1.0833333333333333,2.45,2.55,2.85,2.875,17.0,86.37,34.1,26.6,47.7,57.0,532.0,0.8928571428571429
Vegas Golden Knights,2018-11-19,0,2,7,50.0,50.0,22.0,32.0,50.0,Calgary Flames,@,0.95,1.025,1.1166666666666667,2.65,2.675,2.75,2.85,19.5,85.12,34.4,26.95,47.645,55.0,539.0,0.8979591836734694
Vegas Golden Knights,2018-11-21,2,3,2,0.0,66.7,25.0,21.0,46.6,Arizona Coyotes,@,0.85,1.025,1.0833333333333333,2.7,2.625,3.05,2.9,22.0,82.62,33.4,27.05,47.645,61.0,541.0,0.8872458410351202
Vegas Golden Knights,2018-11-23,2,2,0,33.3,100.0,28.0,29.0,45.1,Calgary Flames,vs,0.95,1.025,1.1,2.75,2.625,2.95,2.9,22.0,83.45500000000001,32.8,27.25,46.745,59.0,545.0,0.8917431192660551
Vegas Golden Knights,2018-11-24,2,6,0,16.7,100.0,36.0,33.0,43.3,San Jose Sharks,vs,1.05,1.075,1.1,2.75,2.65,2.7,2.8,23.665,85.95500000000001,32.65,27.25,46.43,54.0,545.0,0.9009174311926605
Vegas Golden Knights,2018-11-27,2,8,3,33.3,100.0,43.0,24.0,56.9,Chicago Blackhawks,@,1.15,1.075,1.1,2.95,2.7,2.5,2.8,24.5,85.95500000000001,32.6,27.8,46.260000000000005,50.0,556.0,0.9100719424460432
Vegas Golden Knights,2018-11-29,2,4,3,50.0,100.0,31.0,36.0,53.3,Vancouver Canucks,@,1.15,1.075,1.1333333333333333,3.3,2.875,2.65,2.85,26.165,85.95500000000001,33.7,27.7,47.265,53.0,554.0,0.9043321299638989
Vegas Golden Knights,2018-12-01,0,1,2,0.0,100.0,32.0,34.0,51.0,Edmonton Oilers,@,1.15,1.075,1.1333333333333333,3.3,2.9,2.75,2.875,27.0,85.95500000000001,33.8,28.15,47.315,55.0,563.0,0.9023090586145648
Vegas Golden Knights,2018-12-04,2,5,3,33.3,100.0,28.0,26.0,58.7,Washington Capitals,vs,1.05,1.075,1.1,3.2,2.85,2.8,2.725,26.0,85.95500000000001,33.15,28.95,47.79,56.0,579.0,0.9032815198618307
Vegas Golden Knights,2018-12-06,2,4,3,50.0,100.0,36.0,35.0,39.0,Chicago Blackhawks,vs,1.1,1.125,1.1333333333333333,3.35,2.925,2.85,2.7,27.665,85.95500000000001,32.8,28.95,48.185,57.0,579.0,0.9015544041450777
Vegas Golden Knights,2018-12-08,0,1,5,0.0,0.0,30.0,25.0,50.0,Los Angeles Kings,@,1.2,1.125,1.1333333333333333,3.45,2.925,2.85,2.775,28.915,88.45500000000001,33.05,29.55,47.675,57.0,591.0,0.9035532994923858
Vegas Golden Knights,2018-12-09,2,4,2,20.0,50.0,28.0,24.0,50.0,Dallas Stars,vs,1.1,1.075,1.1333333333333333,3.3,2.85,2.95,2.875,27.915,85.95500000000001,31.9,29.7,47.57000000000001,59.0,594.0,0.9006734006734006
