team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Winnipeg Jets,2011-10-09,0,1,5,0.0,75.0,31.0,22.0,48.4,Montréal Canadiens,vs,,,,,,,,,,,,,,,
Winnipeg Jets,2011-10-13,0,3,4,0.0,66.7,30.0,32.0,40.7,Chicago Blackhawks,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-10-15,0,1,4,0.0,80.0,19.0,34.0,41.1,Phoenix Coyotes,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-10-17,2,2,1,0.0,100.0,34.0,29.0,50.0,Pittsburgh Penguins,vs,,,,,,,,,,,,,,,
Winnipeg Jets,2011-10-19,1,3,3,50.0,50.0,29.0,23.0,37.0,Toronto Maple Leafs,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-10-20,0,1,4,0.0,75.0,36.0,30.0,46.7,Ottawa Senators,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-10-22,2,5,3,33.3,100.0,24.0,24.0,61.3,Carolina Hurricanes,vs,,,,,,,,,,,,,,,
Winnipeg Jets,2011-10-24,0,1,2,0.0,60.0,28.0,17.0,52.8,New York Rangers,vs,,,,,,,,,,,,,,,
Winnipeg Jets,2011-10-27,2,9,8,40.0,80.0,25.0,48.0,57.4,Philadelphia Flyers,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-10-29,0,0,1,0.0,75.0,28.0,27.0,53.6,Tampa Bay Lightning,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-10-31,2,3,3,50.0,80.0,31.0,42.0,41.0,Florida Panthers,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-11-03,2,3,0,20.0,100.0,26.0,34.0,48.0,New York Islanders,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-11-05,1,2,3,0.0,100.0,23.0,28.0,70.6,New Jersey Devils,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-11-06,0,0,3,0.0,83.3,23.0,27.0,42.2,New York Rangers,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-11-08,1,5,6,20.0,66.7,31.0,45.0,33.3,Buffalo Sabres,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-11-10,0,2,5,33.3,60.0,27.0,20.0,52.5,Florida Panthers,vs,,,,,,,,,,,,,,,
Winnipeg Jets,2011-11-12,0,1,2,0.0,100.0,36.0,27.0,39.0,Columbus Blue Jackets,@,,,,,,,,,,,,,,,
Winnipeg Jets,2011-11-14,2,5,2,50.0,100.0,39.0,32.0,55.7,Tampa Bay Lightning,vs,,,,,,,,,,,,,,,
Winnipeg Jets,2011-11-17,2,4,1,40.0,100.0,31.0,32.0,42.6,Washington Capitals,vs,,,,,,,,,,,,,,,
Winnipeg Jets,2011-11-19,2,6,4,37.5,75.0,40.0,31.0,66.2,Philadelphia Flyers,vs,,,,,,,,,,,,,,,
Winnipeg Jets,2011-11-23,1,3,4,0.0,100.0,25.0,37.0,45.6,Washington Capitals,@,0.95,,,2.85,,3.2,,18.705000000000002,81.33500000000001,29.55,30.2,49.005,64.0,604.0,0.8940397350993378
Winnipeg Jets,2011-11-25,2,3,1,0.0,100.0,30.0,21.0,50.0,Carolina Hurricanes,@,1.0,,,2.95,,3.15,,18.705000000000002,82.58500000000001,29.25,30.95,48.865,63.0,619.0,0.8982229402261712
Winnipeg Jets,2011-11-26,0,2,4,0.0,83.3,42.0,36.0,38.8,Boston Bruins,@,1.1,,,2.95,,3.0,,18.705000000000002,84.25,29.25,30.4,49.33,60.0,608.0,0.9013157894736842
Winnipeg Jets,2011-11-29,0,4,6,20.0,75.0,43.0,34.0,49.1,Ottawa Senators,vs,1.1,,,3.0,,3.0,,18.705000000000002,84.41499999999999,30.4,30.5,49.214999999999996,60.0,610.0,0.9016393442622951
Winnipeg Jets,2011-12-01,2,1,0,0.0,100.0,31.0,33.0,53.2,Phoenix Coyotes,vs,1.0,,,3.1,,3.25,,19.705000000000002,83.16499999999999,30.85,30.75,49.17,65.0,615.0,0.8943089430894309
Winnipeg Jets,2011-12-03,2,4,2,0.0,75.0,20.0,25.0,56.1,New Jersey Devils,vs,1.05,,,3.0,,3.1,,17.205000000000002,85.66499999999999,30.95,31.25,49.98,62.0,625.0,0.9008
Winnipeg Jets,2011-12-06,2,2,1,0.0,100.0,35.0,40.0,50.9,Boston Bruins,vs,1.15,,,3.15,,3.0,,17.205000000000002,85.66499999999999,30.15,31.0,50.45,60.0,620.0,0.9032258064516129
Winnipeg Jets,2011-12-09,2,4,2,50.0,66.7,37.0,25.0,60.7,Carolina Hurricanes,vs,1.15,,,3.0,,2.9,,15.539999999999997,85.66499999999999,30.7,31.8,49.92999999999999,58.0,636.0,0.9088050314465409
Winnipeg Jets,2011-12-10,0,1,7,0.0,100.0,30.0,29.0,38.2,Detroit Red Wings,@,1.25,,,3.15,,2.9,,18.04,86.0,31.15,32.2,50.325,58.0,644.0,0.9099378881987578
