team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Los Angeles Kings,2005-10-05,0,4,5,25.0,83.3,20.0,30.0,42.0,Dallas Stars,@,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-06,2,3,2,50.0,60.0,28.0,29.0,54.6,Phoenix Coyotes,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-09,2,2,1,0.0,100.0,32.0,25.0,62.8,Minnesota Wild,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-11,2,3,1,20.0,100.0,35.0,24.0,55.7,Edmonton Oilers,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-13,0,2,5,0.0,100.0,28.0,21.0,45.5,Detroit Red Wings,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-16,2,3,1,22.2,100.0,31.0,20.0,52.5,Columbus Blue Jackets,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-19,2,5,4,0.0,0.0,30.0,21.0,57.9,Colorado Avalanche,@,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-20,2,7,2,25.0,66.7,28.0,30.0,36.1,Dallas Stars,@,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-23,0,2,3,10.0,80.0,20.0,31.0,49.1,Calgary Flames,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-25,2,3,1,12.5,100.0,33.0,30.0,53.4,Anaheim Ducks,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-28,0,4,5,25.0,75.0,25.0,33.0,50.0,San Jose Sharks,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-10-29,2,5,2,25.0,100.0,30.0,31.0,44.9,St. Louis Blues,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-11-02,2,6,3,33.3,85.7,26.0,32.0,56.1,Dallas Stars,@,,,,,,,,,,,,,,,
Los Angeles Kings,2005-11-03,0,0,4,0.0,77.8,21.0,29.0,50.8,Phoenix Coyotes,@,,,,,,,,,,,,,,,
Los Angeles Kings,2005-11-05,2,2,2,0.0,100.0,38.0,22.0,47.0,Nashville Predators,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-11-09,1,4,5,16.7,100.0,41.0,39.0,47.5,Detroit Red Wings,@,,,,,,,,,,,,,,,
Los Angeles Kings,2005-11-11,2,4,2,14.3,100.0,27.0,34.0,51.6,Chicago Blackhawks,@,,,,,,,,,,,,,,,
Los Angeles Kings,2005-11-13,2,8,2,25.0,100.0,28.0,29.0,47.0,Columbus Blue Jackets,@,,,,,,,,,,,,,,,
Los Angeles Kings,2005-11-15,0,2,3,0.0,50.0,37.0,26.0,43.1,Nashville Predators,@,,,,,,,,,,,,,,,
Los Angeles Kings,2005-11-17,2,5,4,42.9,80.0,38.0,36.0,59.7,Vancouver Canucks,vs,,,,,,,,,,,,,,,
Los Angeles Kings,2005-11-19,2,4,3,20.0,85.7,25.0,37.0,50.8,Colorado Avalanche,vs,1.35,,,3.7,,2.85,,17.345,82.925,29.8,28.6,50.364999999999995,57.0,572.0,0.9003496503496503
Los Angeles Kings,2005-11-22,2,6,3,22.2,88.9,28.0,26.0,47.5,St. Louis Blues,@,1.45,,,3.7,,2.75,,17.095,83.045,30.05,28.95,50.805,55.0,579.0,0.9050086355785838
Los Angeles Kings,2005-11-24,0,3,4,0.0,75.0,38.0,33.0,69.7,Nashville Predators,@,1.45,,,3.85,,2.8,,15.705000000000002,84.49,30.05,28.8,50.45,56.0,576.0,0.9027777777777778
Los Angeles Kings,2005-11-26,2,3,2,0.0,83.3,29.0,27.0,50.9,Chicago Blackhawks,vs,1.35,,,3.9,,2.95,,15.705000000000002,83.24,30.35,29.2,50.795,59.0,584.0,0.898972602739726
Los Angeles Kings,2005-11-28,0,2,5,0.0,66.7,24.0,29.0,40.0,Detroit Red Wings,vs,1.35,,,3.9,,3.0,,14.705000000000002,82.405,30.05,29.35,50.555,60.0,587.0,0.8977853492333902
