team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Toronto Maple Leafs,2005-10-05,1,2,2,9.1,100.0,25.0,23.0,47.5,Ottawa Senators,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-08,0,4,5,16.7,50.0,20.0,25.0,55.2,Montréal Canadiens,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-10,1,5,5,37.5,57.1,27.0,36.0,53.7,Ottawa Senators,@,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-11,2,4,2,16.7,100.0,22.0,33.0,48.4,Philadelphia Flyers,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-14,2,9,1,43.8,100.0,34.0,20.0,60.6,Atlanta Thrashers,@,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-15,2,3,2,50.0,85.7,21.0,31.0,47.5,Montréal Canadiens,@,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-20,2,5,4,20.0,83.3,23.0,32.0,53.9,Carolina Hurricanes,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-22,0,2,5,25.0,87.5,24.0,32.0,40.4,Philadelphia Flyers,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-24,2,4,4,50.0,100.0,32.0,53.0,50.0,Boston Bruins,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-27,0,1,2,20.0,66.7,37.0,30.0,48.0,Boston Bruins,@,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-29,0,0,8,0.0,87.5,27.0,33.0,54.1,Ottawa Senators,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-10-31,2,2,1,25.0,100.0,24.0,32.0,55.4,Florida Panthers,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-11-03,0,3,4,0.0,71.4,25.0,35.0,42.7,Carolina Hurricanes,@,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-11-05,2,5,3,25.0,71.4,26.0,36.0,51.5,Tampa Bay Lightning,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-11-06,0,4,5,14.3,66.7,30.0,33.0,49.2,Washington Capitals,@,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-11-08,2,6,4,20.0,85.7,34.0,30.0,55.7,Washington Capitals,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-11-11,0,2,5,33.3,71.4,29.0,30.0,53.3,Buffalo Sabres,@,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-11-12,2,5,4,33.3,87.5,24.0,35.0,53.1,Montréal Canadiens,@,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-11-15,2,2,1,50.0,100.0,24.0,28.0,53.9,New York Rangers,vs,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-11-17,2,4,1,28.6,75.0,26.0,32.0,46.8,Boston Bruins,@,,,,,,,,,,,,,,,
Toronto Maple Leafs,2005-11-19,2,5,1,0.0,75.0,38.0,32.0,62.1,Atlanta Thrashers,vs,1.2,,,3.6,,3.4,,25.915,82.345,26.7,31.95,51.045,68.0,639.0,0.8935837245696401
Toronto Maple Leafs,2005-11-23,0,1,5,0.0,66.7,21.0,37.0,46.7,Boston Bruins,vs,1.25,,,3.75,,3.35,,25.46,81.095,27.35,32.4,51.775,67.0,648.0,0.8966049382716049
Toronto Maple Leafs,2005-11-25,1,3,3,20.0,77.8,38.0,35.0,49.4,Carolina Hurricanes,@,1.25,,,3.6,,3.35,,24.625,81.92999999999999,27.4,33.0,51.35,67.0,660.0,0.8984848484848484
Toronto Maple Leafs,2005-11-26,2,4,3,33.3,100.0,37.0,33.0,49.1,Montréal Canadiens,vs,1.25,,,3.5,,3.25,,23.75,82.965,27.95,32.95,51.135000000000005,65.0,659.0,0.9013657056145675
Toronto Maple Leafs,2005-11-28,2,2,1,16.7,83.3,26.0,35.0,47.3,Florida Panthers,@,1.25,,,3.5,,3.3,,24.58,82.965,28.7,32.95,51.17,66.0,659.0,0.8998482549317147
Toronto Maple Leafs,2005-11-30,0,1,2,0.0,83.3,21.0,24.0,43.1,Tampa Bay Lightning,@,1.25,,,3.15,,3.3,,23.225,82.13000000000001,28.3,33.7,50.505,66.0,674.0,0.9020771513353115
Toronto Maple Leafs,2005-12-01,2,4,0,27.3,100.0,28.0,28.0,43.3,Atlanta Thrashers,@,1.15,,,3.05,,3.3,,20.725,82.01,28.3,33.35,50.285000000000004,66.0,667.0,0.9010494752623688
Toronto Maple Leafs,2005-12-03,0,4,5,16.7,60.0,28.0,27.0,40.6,San Jose Sharks,vs,1.15,,,3.0,,3.1,,21.089999999999996,82.845,28.55,33.15,49.755,62.0,663.0,0.9064856711915535
Toronto Maple Leafs,2005-12-06,0,1,2,11.1,87.5,37.0,23.0,50.0,Los Angeles Kings,vs,1.15,,,3.1,,3.1,,20.675,81.47,28.75,32.9,49.765,62.0,658.0,0.9057750759878419
Toronto Maple Leafs,2005-12-10,0,1,2,0.0,75.0,20.0,34.0,53.7,Dallas Stars,vs,1.05,,,2.95,,3.0,,18.729999999999997,80.845,29.0,31.4,49.765,60.0,628.0,0.9044585987261147
Toronto Maple Leafs,2005-12-12,2,3,2,33.3,100.0,27.0,29.0,61.8,Anaheim Ducks,vs,1.05,,,2.95,,3.0,,17.729999999999997,81.26,28.15,31.6,50.05,60.0,632.0,0.9050632911392406
