team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Tampa Bay Lightning,2005-10-05,2,5,2,16.7,100.0,30.0,26.0,48.4,Carolina Hurricanes,vs,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-07,0,0,2,0.0,100.0,27.0,31.0,48.2,Florida Panthers,@,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-08,2,2,1,10.0,90.0,34.0,29.0,45.3,Florida Panthers,vs,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-10,0,2,4,0.0,85.7,28.0,24.0,50.0,Boston Bruins,vs,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-13,1,3,3,0.0,100.0,35.0,33.0,50.0,Buffalo Sabres,vs,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-15,2,3,1,14.3,100.0,30.0,21.0,48.3,Pittsburgh Penguins,@,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-16,1,2,2,12.5,100.0,40.0,14.0,46.4,Washington Capitals,@,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-20,2,6,0,20.0,100.0,36.0,15.0,56.0,Atlanta Thrashers,@,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-21,0,1,4,0.0,100.0,24.0,29.0,53.1,Ottawa Senators,vs,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-26,2,6,3,25.0,100.0,39.0,23.0,44.6,New Jersey Devils,@,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-28,2,4,2,12.5,100.0,28.0,14.0,57.9,Washington Capitals,vs,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-10-29,2,3,2,20.0,80.0,23.0,31.0,49.2,Atlanta Thrashers,@,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-11-01,0,4,6,0.0,0.0,33.0,29.0,58.0,Atlanta Thrashers,vs,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-11-03,0,2,4,28.6,100.0,33.0,31.0,54.4,Ottawa Senators,@,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-11-05,0,3,5,28.6,75.0,36.0,26.0,48.5,Toronto Maple Leafs,@,,,,,,,,,,,,,,,
Tampa Bay Lightning,2005-11-08,0,2,3,0.0,71.4,34.0,19.0,51.7,Montréal Canadiens,@,1.0666666666666667,,,3.066666666666667,,2.7333333333333334,,12.546666666666665,88.71333333333334,31.733333333333334,25.066666666666666,50.55333333333333,41.0,376.0,0.8909574468085106
Tampa Bay Lightning,2005-11-10,0,2,5,14.3,85.7,25.0,20.0,55.6,New York Rangers,vs,0.9333333333333333,,,2.8666666666666667,,2.8,,11.433333333333334,86.80666666666666,32.0,24.6,50.77333333333333,42.0,369.0,0.8861788617886179
Tampa Bay Lightning,2005-11-11,0,2,5,0.0,62.5,36.0,27.0,44.4,Atlanta Thrashers,@,0.9333333333333333,,,3.0,,3.0,,12.386666666666667,85.85333333333332,31.866666666666667,23.866666666666667,51.266666666666666,45.0,358.0,0.8743016759776536
Tampa Bay Lightning,2005-11-14,2,5,2,33.3,50.0,33.0,24.0,66.0,Philadelphia Flyers,vs,0.8,,,3.0,,3.2666666666666666,,11.72,84.02,32.0,23.733333333333334,51.20666666666667,49.0,356.0,0.8623595505617978
Tampa Bay Lightning,2005-11-15,1,3,3,0.0,80.0,35.0,40.0,44.1,Washington Capitals,@,0.9333333333333333,,,3.2,,3.1333333333333333,,13.940000000000001,81.64,32.333333333333336,23.733333333333334,52.27333333333333,47.0,356.0,0.8679775280898876
Tampa Bay Lightning,2005-11-17,2,3,2,0.0,100.0,31.0,36.0,45.9,New York Islanders,vs,0.9333333333333333,,,3.2,,3.1333333333333333,,13.940000000000001,80.30666666666666,32.333333333333336,24.2,51.88,47.0,363.0,0.8705234159779615
Tampa Bay Lightning,2005-11-20,2,5,2,50.0,100.0,29.0,22.0,63.3,Carolina Hurricanes,@,0.9333333333333333,,,3.2,,3.2,,12.986666666666668,80.30666666666666,32.4,25.2,51.72,48.0,378.0,0.873015873015873
Tampa Bay Lightning,2005-11-22,2,4,2,0.0,75.0,25.0,32.0,45.6,Philadelphia Flyers,@,1.0,,,3.4,,3.2,,15.486666666666668,80.30666666666666,31.666666666666668,25.733333333333334,52.846666666666664,48.0,386.0,0.8756476683937824
Tampa Bay Lightning,2005-11-23,2,3,3,0.0,75.0,42.0,20.0,49.2,Washington Capitals,@,1.0,,,3.2666666666666666,,3.3333333333333335,,14.153333333333334,78.64,30.933333333333334,26.866666666666667,52.15333333333333,50.0,403.0,0.8759305210918115
Tampa Bay Lightning,2005-11-25,0,2,8,0.0,66.7,26.0,26.0,48.0,New Jersey Devils,vs,1.1333333333333333,,,3.4,,3.2666666666666666,,14.153333333333334,76.97333333333333,32.13333333333333,26.266666666666666,51.89333333333333,49.0,394.0,0.8756345177664975
Tampa Bay Lightning,2005-11-27,2,4,1,33.3,100.0,36.0,21.0,57.7,Pittsburgh Penguins,vs,1.0,1.08,,3.1333333333333333,3.08,3.6,3.04,12.486666666666668,74.75333333333333,31.266666666666666,26.466666666666665,52.120000000000005,54.0,397.0,0.8639798488664987
Tampa Bay Lightning,2005-11-30,2,2,1,16.7,100.0,24.0,21.0,56.9,Toronto Maple Leafs,vs,1.0,1.08,,3.1333333333333333,3.04,3.533333333333333,3.0,13.873333333333333,74.75333333333333,31.8,26.933333333333334,52.10666666666666,53.0,404.0,0.8688118811881188
Tampa Bay Lightning,2005-12-02,2,2,2,16.7,100.0,27.0,36.0,51.7,Chicago Blackhawks,vs,1.0,1.16,,3.066666666666667,3.12,3.466666666666667,2.96,13.653333333333332,76.08666666666666,31.866666666666667,26.266666666666666,52.620000000000005,52.0,394.0,0.868020304568528
Tampa Bay Lightning,2005-12-08,2,5,4,25.0,80.0,33.0,22.0,46.7,St. Louis Blues,vs,1.1333333333333333,1.16,,2.933333333333333,3.12,3.2,3.0,14.766666666666667,82.75333333333333,31.466666666666665,26.733333333333334,52.2,48.0,401.0,0.8802992518703242
Tampa Bay Lightning,2005-12-10,2,4,3,22.2,83.3,29.0,16.0,41.7,Nashville Predators,vs,1.2666666666666666,1.24,,3.1333333333333333,3.24,3.2,3.0,14.526666666666667,81.42,31.466666666666665,26.133333333333333,51.686666666666675,48.0,392.0,0.8775510204081632
Tampa Bay Lightning,2005-12-14,0,2,4,14.3,71.4,24.0,33.0,56.6,Anaheim Ducks,@,1.4,1.28,,3.2,3.28,3.066666666666667,3.0,14.1,81.97333333333333,31.0,25.466666666666665,51.233333333333334,46.0,382.0,0.8795811518324608
Tampa Bay Lightning,2005-12-15,2,3,1,14.3,100.0,28.0,27.0,47.2,Phoenix Coyotes,@,1.4,1.2,,3.2,3.24,3.1333333333333333,3.12,15.053333333333335,81.97333333333334,30.333333333333332,26.4,51.559999999999995,47.0,396.0,0.8813131313131313
Tampa Bay Lightning,2005-12-17,0,3,6,25.0,80.0,31.0,29.0,47.1,Detroit Red Wings,vs,1.5333333333333334,1.24,,3.2666666666666666,3.28,2.8666666666666667,3.08,15.053333333333333,82.92666666666668,30.533333333333335,26.866666666666667,51.0,43.0,403.0,0.8933002481389578
Tampa Bay Lightning,2005-12-20,0,4,6,33.3,66.7,24.0,30.0,39.7,Carolina Hurricanes,@,1.5333333333333334,1.16,,3.3333333333333335,3.16,2.933333333333333,3.32,16.72,84.09333333333333,30.2,27.0,51.18,44.0,405.0,0.891358024691358
Tampa Bay Lightning,2005-12-22,0,2,4,14.3,40.0,32.0,36.0,58.8,New York Rangers,@,1.4,1.16,,3.2666666666666666,3.28,3.2,3.4,16.720000000000002,85.20666666666668,29.6,27.4,49.42666666666666,48.0,411.0,0.8832116788321168
Tampa Bay Lightning,2005-12-23,0,1,4,0.0,80.0,31.0,31.0,47.4,Buffalo Sabres,vs,1.3333333333333333,1.08,,3.2,3.12,3.2666666666666666,3.44,17.673333333333336,82.54,29.4,27.133333333333333,50.406666666666666,49.0,407.0,0.8796068796068796
Tampa Bay Lightning,2005-12-26,2,5,4,16.7,50.0,41.0,30.0,56.9,Carolina Hurricanes,vs,1.2,1.0,,3.066666666666667,3.0,3.4,3.52,17.673333333333336,81.20666666666668,29.4,26.8,50.50666666666667,51.0,402.0,0.8731343283582089
Tampa Bay Lightning,2005-12-28,0,3,4,0.0,66.7,44.0,24.0,47.0,Montréal Canadiens,vs,1.2,1.0,,3.066666666666667,3.08,3.533333333333333,3.6,15.453333333333335,77.87333333333335,30.2,27.333333333333332,50.080000000000005,53.0,410.0,0.8707317073170732
Tampa Bay Lightning,2005-12-30,0,1,2,0.0,100.0,32.0,24.0,45.8,Boston Bruins,vs,1.0666666666666667,1.0,,3.0,3.04,3.6666666666666665,3.52,15.453333333333335,77.32000000000001,31.466666666666665,26.8,50.17333333333333,55.0,402.0,0.8631840796019901
Tampa Bay Lightning,2006-01-02,2,2,1,0.0,87.5,43.0,36.0,54.1,New York Islanders,@,0.9333333333333333,1.0,,2.8666666666666667,3.0,3.6,3.44,15.453333333333335,78.98666666666668,30.8,27.066666666666666,49.94666666666667,54.0,406.0,0.8669950738916257
Tampa Bay Lightning,2006-01-03,2,1,0,0.0,100.0,20.0,36.0,56.4,New York Rangers,@,1.0666666666666667,1.08,1.075,2.8666666666666667,2.96,3.1333333333333333,3.28,15.453333333333335,80.37333333333332,31.933333333333334,27.733333333333334,50.35333333333333,47.0,416.0,0.8870192307692307
Tampa Bay Lightning,2006-01-05,0,1,3,0.0,71.4,22.0,31.0,46.9,Buffalo Sabres,@,1.0666666666666667,1.16,1.075,2.6666666666666665,2.92,3.066666666666667,3.16,13.233333333333333,80.37333333333332,30.866666666666667,28.733333333333334,50.266666666666666,46.0,431.0,0.8932714617169374
Tampa Bay Lightning,2006-01-07,0,3,6,0.0,100.0,32.0,34.0,33.3,Boston Bruins,@,0.9333333333333333,1.16,1.075,2.6,2.88,3.2,3.08,12.120000000000001,78.46666666666667,30.733333333333334,29.4,49.6,48.0,441.0,0.891156462585034
