team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Pittsburgh Penguins,2005-10-05,0,1,5,9.1,75.0,37.0,37.0,42.9,New Jersey Devils,@,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-10-07,1,2,2,28.6,100.0,30.0,33.0,50.7,Carolina Hurricanes,@,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-10-08,1,6,7,22.2,71.4,29.0,41.0,51.3,Boston Bruins,vs,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-10-10,1,2,3,0.0,100.0,28.0,41.0,29.0,Buffalo Sabres,@,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-10-14,1,5,6,33.3,75.0,20.0,41.0,42.9,Philadelphia Flyers,@,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-10-15,0,1,3,0.0,85.7,21.0,30.0,51.7,Tampa Bay Lightning,vs,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-10-20,0,3,6,20.0,66.7,33.0,36.0,49.2,New Jersey Devils,vs,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-10-22,0,3,6,12.5,69.2,21.0,47.0,34.1,Boston Bruins,@,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-10-25,1,3,4,16.7,71.4,41.0,34.0,54.9,Florida Panthers,vs,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-10-27,2,7,5,54.6,57.1,30.0,35.0,45.2,Atlanta Thrashers,vs,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-10-29,0,3,5,16.7,62.5,28.0,33.0,40.3,Carolina Hurricanes,vs,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-11-01,2,4,3,16.7,75.0,37.0,29.0,50.9,New Jersey Devils,@,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-11-03,2,5,1,25.0,100.0,33.0,23.0,50.0,New York Islanders,@,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-11-05,0,3,6,10.0,60.0,29.0,32.0,50.9,Boston Bruins,@,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-11-07,2,3,2,0.0,100.0,24.0,37.0,44.4,New York Rangers,@,,,,,,,,,,,,,,,
Pittsburgh Penguins,2005-11-09,0,0,5,0.0,83.3,26.0,40.0,44.4,Atlanta Thrashers,@,0.8666666666666667,,,3.4,,4.266666666666667,,17.69333333333333,,29.4,35.266666666666666,45.89333333333333,64.0,529.0,0.8790170132325141
Pittsburgh Penguins,2005-11-10,2,2,2,12.5,66.7,23.0,32.0,56.3,Montréal Canadiens,vs,0.8666666666666667,,,3.3333333333333335,,4.266666666666667,,17.086666666666662,,28.666666666666668,35.46666666666667,45.99333333333333,64.0,532.0,0.8796992481203008
Pittsburgh Penguins,2005-11-12,0,1,6,0.0,80.0,24.0,41.0,46.8,New York Rangers,vs,0.9333333333333333,,,3.3333333333333335,,4.266666666666667,,16.013333333333335,,28.2,35.4,46.36666666666667,64.0,531.0,0.879472693032015
Pittsburgh Penguins,2005-11-14,1,2,2,0.0,100.0,28.0,37.0,54.0,New York Islanders,vs,0.8666666666666667,,,3.0,,4.2,,14.533333333333333,,27.866666666666667,35.4,46.06666666666667,63.0,531.0,0.8813559322033898
Pittsburgh Penguins,2005-11-16,2,3,2,14.3,71.4,29.0,47.0,47.5,Philadelphia Flyers,@,0.8666666666666667,,,3.0,,4.133333333333334,,14.533333333333333,,27.866666666666667,35.13333333333333,47.733333333333334,62.0,527.0,0.8823529411764706
Pittsburgh Penguins,2005-11-19,0,3,6,28.6,100.0,30.0,29.0,48.3,Philadelphia Flyers,vs,0.9333333333333333,,,2.8666666666666667,,3.8666666666666667,,13.266666666666664,,28.466666666666665,35.53333333333333,48.04,58.0,533.0,0.8911819887429644
Pittsburgh Penguins,2005-11-22,2,5,4,16.7,100.0,28.0,45.0,45.3,Washington Capitals,vs,0.9333333333333333,,,3.0,,4.066666666666666,,15.173333333333336,,29.066666666666666,35.46666666666667,47.81333333333334,61.0,532.0,0.8853383458646616
Pittsburgh Penguins,2005-11-25,0,3,6,0.0,100.0,39.0,46.0,44.3,Florida Panthers,@,1.0666666666666667,,,3.1333333333333333,,3.933333333333333,,14.953333333333335,,28.733333333333334,36.06666666666667,47.55333333333333,59.0,541.0,0.8909426987060998
Pittsburgh Penguins,2005-11-27,0,1,4,0.0,66.7,21.0,36.0,42.3,Tampa Bay Lightning,@,1.0666666666666667,,,3.1333333333333333,,3.933333333333333,,14.120000000000001,,29.933333333333334,36.0,48.233333333333334,59.0,540.0,0.8907407407407407
Pittsburgh Penguins,2005-11-29,0,2,3,11.1,85.7,32.0,27.0,60.4,Buffalo Sabres,vs,1.0,,,3.0,,3.933333333333333,,13.006666666666666,,28.6,36.13333333333333,47.39333333333333,59.0,542.0,0.8911439114391144
Pittsburgh Penguins,2005-12-01,0,1,2,0.0,85.7,36.0,32.0,49.1,New York Rangers,@,0.8666666666666667,0.8,,2.6666666666666665,2.92,3.8,4.16,10.106666666666666,,28.733333333333334,35.6,48.406666666666666,57.0,534.0,0.8932584269662921
Pittsburgh Penguins,2005-12-03,0,2,3,10.0,85.7,30.0,26.0,55.7,Calgary Flames,vs,0.8666666666666667,0.8,,2.533333333333333,2.92,3.6,4.04,8.993333333333334,,29.266666666666666,35.53333333333333,48.99333333333333,54.0,533.0,0.8986866791744841
Pittsburgh Penguins,2005-12-08,0,0,5,0.0,80.0,22.0,32.0,44.3,Minnesota Wild,vs,0.7333333333333333,0.76,,2.4,2.92,3.6,4.08,8.546666666666665,,28.8,35.333333333333336,49.313333333333325,54.0,530.0,0.8981132075471698
Pittsburgh Penguins,2005-12-10,2,4,3,14.3,87.5,35.0,26.0,47.4,Colorado Avalanche,vs,0.6,0.72,,2.066666666666667,2.68,3.8666666666666667,4.0,6.879999999999999,,28.066666666666666,35.93333333333333,48.93333333333333,58.0,539.0,0.8923933209647495
Pittsburgh Penguins,2005-12-12,0,1,3,0.0,75.0,17.0,39.0,42.6,Detroit Red Wings,@,0.7333333333333333,0.76,,2.1333333333333333,2.76,3.6666666666666665,4.0,7.166666666666667,,28.466666666666665,35.53333333333333,48.7,55.0,533.0,0.8968105065666041
Pittsburgh Penguins,2005-12-13,0,0,3,0.0,100.0,21.0,42.0,35.2,St. Louis Blues,@,0.6,0.72,,2.0,2.6,3.7333333333333334,3.88,7.166666666666667,,28.0,35.666666666666664,48.580000000000005,56.0,535.0,0.8953271028037383
Pittsburgh Penguins,2005-12-16,1,3,4,28.6,62.5,27.0,27.0,44.6,Buffalo Sabres,vs,0.6,0.72,,2.0,2.56,3.6,3.88,7.166666666666667,,27.666666666666668,35.8,47.96666666666667,54.0,537.0,0.8994413407821229
Pittsburgh Penguins,2005-12-17,0,3,4,0.0,66.7,33.0,29.0,33.3,Buffalo Sabres,@,0.5333333333333333,0.76,,2.066666666666667,2.56,3.7333333333333334,3.8,8.24,,27.933333333333334,35.46666666666667,47.18666666666666,56.0,532.0,0.8947368421052632
Pittsburgh Penguins,2005-12-23,0,4,5,16.7,81.8,26.0,32.0,57.8,Philadelphia Flyers,vs,0.5333333333333333,0.76,,2.2,2.56,3.6,3.72,8.24,,28.533333333333335,34.666666666666664,46.28666666666666,54.0,520.0,0.8961538461538462
Pittsburgh Penguins,2005-12-27,1,2,3,25.0,75.0,35.0,33.0,53.9,Toronto Maple Leafs,vs,0.4666666666666667,0.72,,2.3333333333333335,2.6,3.8,3.76,9.353333333333332,,28.4,34.333333333333336,46.54,57.0,515.0,0.8893203883495145
