team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5
Nashville Predators,2005-10-05,2,3,2,0.0,100.0,25.0,24.0,69.1,San Jose Sharks,vs,,,,,,,,,,,,
Nashville Predators,2005-10-08,2,2,2,25.0,100.0,35.0,35.0,53.1,Anaheim Ducks,vs,,,,,,,,,,,,
Nashville Predators,2005-10-12,2,5,4,33.3,100.0,18.0,24.0,60.6,Colorado Avalanche,@,,,,,,,,,,,,
Nashville Predators,2005-10-13,2,4,4,60.0,70.0,26.0,31.0,51.4,Phoenix Coyotes,@,,,,,,,,,,,,
Nashville Predators,2005-10-15,2,4,1,0.0,100.0,24.0,29.0,51.7,St. Louis Blues,@,,,,,,,,,,,,
Nashville Predators,2005-10-20,2,2,2,0.0,75.0,29.0,31.0,60.0,St. Louis Blues,vs,2.0,,,3.6,,2.6,,23.66,94.0,25.6,28.6,57.17999999999999
Nashville Predators,2005-10-22,2,2,1,14.3,83.3,30.0,38.0,57.1,San Jose Sharks,vs,2.0,,,3.4,,2.6,,23.66,89.0,26.4,30.0,55.36
Nashville Predators,2005-10-25,2,5,3,16.7,92.3,22.0,41.0,47.4,Chicago Blackhawks,vs,2.0,,,3.4,,2.4,,21.52,85.66,25.4,30.6,56.160000000000004
Nashville Predators,2005-10-26,1,2,3,16.7,83.3,24.0,34.0,55.0,Columbus Blue Jackets,@,2.0,,,3.4,,2.2,,18.2,84.12,26.2,34.0,53.519999999999996
Nashville Predators,2005-10-29,0,1,5,14.3,50.0,24.0,31.0,57.4,Edmonton Oilers,vs,1.8,,,3.0,,2.0,,9.540000000000001,86.78,25.8,34.6,54.239999999999995
Nashville Predators,2005-11-01,0,1,4,0.0,80.0,33.0,35.0,52.5,Anaheim Ducks,@,1.4,1.7,,2.4,3.0,2.8,2.7,12.4,76.78,25.8,35.0,55.379999999999995
Nashville Predators,2005-11-02,1,2,3,0.0,80.0,23.0,36.0,50.8,San Jose Sharks,@,1.0,1.5,,2.2,2.8,3.2,2.9,12.4,77.78,26.6,35.8,53.879999999999995
Nashville Predators,2005-11-05,1,2,2,0.0,100.0,22.0,38.0,53.0,Los Angeles Kings,@,0.8,1.4,,2.2,2.8,3.6,3.0,9.540000000000001,77.11999999999999,25.2,35.4,52.620000000000005
Nashville Predators,2005-11-08,2,3,2,0.0,85.7,27.0,33.0,49.1,Edmonton Oilers,vs,0.6,1.3,,1.6,2.5,3.4,2.8,6.2,78.66,25.2,34.8,53.739999999999995
Nashville Predators,2005-11-10,2,5,3,40.0,77.8,32.0,28.0,63.3,Dallas Stars,vs,0.8,1.3,,1.8,2.4,3.2,2.6,2.8600000000000003,79.14000000000001,25.8,34.6,52.56
Nashville Predators,2005-11-12,2,3,1,25.0,100.0,29.0,27.0,50.9,St. Louis Blues,vs,1.2,1.3,,2.6,2.5,2.8,2.8,8.0,84.7,27.4,34.0,53.739999999999995
Nashville Predators,2005-11-15,2,3,2,50.0,100.0,26.0,37.0,56.9,Los Angeles Kings,vs,1.6,1.3,,3.0,2.6,2.2,2.7,13.0,88.7,26.6,32.4,53.42
Nashville Predators,2005-11-19,0,2,4,28.6,80.0,32.0,28.0,38.5,Minnesota Wild,@,1.8,1.3,,3.2,2.7,2.0,2.8,23.0,92.7,27.2,32.6,54.64
Nashville Predators,2005-11-23,2,4,2,12.5,83.3,41.0,37.0,60.3,Columbus Blue Jackets,@,1.6,1.1,,3.2,2.4,2.4,2.9,28.72,88.7,29.2,30.6,51.739999999999995
Nashville Predators,2005-11-24,2,4,3,25.0,100.0,33.0,38.0,30.3,Los Angeles Kings,vs,1.6,1.2,,3.4,2.6,2.4,2.8,31.22,88.22,32.0,31.4,53.98
