,team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5
16,Detroit Red Wings,2005-10-05,2,5,1,14.3,100.0,37.0,14.0,48.2,St. Louis Blues,vs,,,,,,,,,,,,
32,Detroit Red Wings,2005-10-06,2,4,3,28.6,81.8,27.0,26.0,49.3,St. Louis Blues,@,,,,,,,,,,,,
75,Detroit Red Wings,2005-10-09,2,6,3,55.6,100.0,40.0,24.0,52.9,Calgary Flames,vs,,,,,,,,,,,,
90,Detroit Red Wings,2005-10-10,0,2,4,0.0,100.0,30.0,29.0,46.3,Vancouver Canucks,vs,,,,,,,,,,,,
124,Detroit Red Wings,2005-10-13,2,5,2,0.0,100.0,21.0,28.0,54.6,Los Angeles Kings,@,,,,,,,,,,,,
157,Detroit Red Wings,2005-10-15,2,2,0,16.7,100.0,20.0,23.0,52.1,Phoenix Coyotes,@,1.6,,,4.4,,2.6,,19.7,96.36,31.0,24.2,50.260000000000005
174,Detroit Red Wings,2005-10-17,2,3,2,33.3,87.5,34.0,28.0,54.7,San Jose Sharks,vs,1.6,,,3.8,,2.4,,20.18,96.36,27.6,26.0,51.040000000000006
216,Detroit Red Wings,2005-10-21,2,3,2,37.5,75.0,39.0,25.0,54.8,Anaheim Ducks,vs,1.6,,,3.6,,2.2,,21.119999999999997,97.5,29.0,26.4,52.120000000000005
234,Detroit Red Wings,2005-10-22,2,6,0,20.0,100.0,36.0,17.0,40.0,Columbus Blue Jackets,@,1.6,,,3.0,,2.0,,17.5,92.5,28.8,26.6,52.5
254,Detroit Red Wings,2005-10-24,2,6,2,33.3,87.5,37.0,33.0,50.0,Columbus Blue Jackets,@,2.0,,,3.8,,1.2,,21.5,92.5,30.0,24.2,51.239999999999995
295,Detroit Red Wings,2005-10-27,2,5,2,40.0,100.0,28.0,23.0,50.9,Chicago Blackhawks,vs,2.0,1.8,,4.0,4.2,1.2,1.9,28.160000000000004,90.0,33.2,25.2,50.32
327,Detroit Red Wings,2005-10-29,2,4,2,25.0,100.0,37.0,25.0,49.2,Chicago Blackhawks,@,2.0,1.8,,4.6,4.2,1.6,2.0,32.82,90.0,34.8,25.2,50.08
357,Detroit Red Wings,2005-11-01,2,4,1,33.3,83.3,20.0,32.0,69.7,Chicago Blackhawks,vs,2.0,1.8,,4.8,4.2,1.6,1.9,31.160000000000004,92.5,35.4,24.6,48.980000000000004
386,Detroit Red Wings,2005-11-03,1,3,4,33.3,75.0,38.0,25.0,50.9,Edmonton Oilers,vs,2.0,1.8,,5.0,4.0,1.4,1.7,30.32,94.16,31.6,26.0,51.96
420,Detroit Red Wings,2005-11-05,0,1,4,0.0,55.6,37.0,29.0,51.6,Phoenix Coyotes,vs,1.8,1.9,,4.4,4.1,2.2,1.7,32.98,89.16,32.0,27.6,54.14
433,Detroit Red Wings,2005-11-06,2,4,1,20.0,87.5,25.0,27.0,54.8,St. Louis Blues,@,1.4,1.7,,3.4,3.7,2.6,1.9,26.319999999999993,82.78,32.0,26.8,54.46
464,Detroit Red Wings,2005-11-09,2,5,4,0.0,83.3,39.0,41.0,52.5,Los Angeles Kings,vs,1.4,1.7,,3.2,3.9,2.4,2.0,22.32,80.28,31.4,27.6,55.24000000000001
493,Detroit Red Wings,2005-11-11,2,3,1,33.3,66.7,37.0,17.0,54.2,Minnesota Wild,vs,1.4,1.7,,3.4,4.1,2.8,2.2,17.32,76.94,31.8,30.8,55.9
521,Detroit Red Wings,2005-11-13,0,1,4,16.7,87.5,35.0,26.0,51.9,Vancouver Canucks,@,1.4,1.7,,3.2,4.1,2.8,2.1,17.32,73.61999999999999,35.2,27.8,52.8
552,Detroit Red Wings,2005-11-16,0,1,3,0.0,75.0,22.0,28.0,50.0,Calgary Flames,@,1.2,1.5,,2.8,3.6,2.8,2.5,14.0,76.12,34.6,28.0,53.0
572,Detroit Red Wings,2005-11-17,1,5,6,33.3,62.5,28.0,28.0,40.3,Edmonton Oilers,@,1.2,1.3,1.55,2.8,3.1,2.6,2.6,14.0,80.0,31.6,27.8,52.67999999999999
601,Detroit Red Wings,2005-11-19,0,2,3,0.0,85.7,34.0,30.0,50.0,St. Louis Blues,vs,1.0,1.2,1.5,3.0,3.1,3.6,3.0,16.66,75.0,32.2,28.0,49.78
646,Detroit Red Wings,2005-11-23,2,7,3,33.3,71.4,29.0,27.0,53.2,Colorado Avalanche,vs,0.6,1.0,1.4,2.4,2.9,3.4,3.1,16.66,75.47999999999999,31.2,25.8,49.28
