team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
San Jose Sharks,2005-10-05,0,2,3,0.0,100.0,24.0,25.0,30.9,Nashville Predators,@,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-07,0,3,6,25.0,57.1,24.0,26.0,47.4,Chicago Blackhawks,@,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-08,2,7,6,25.0,62.5,39.0,26.0,40.3,St. Louis Blues,@,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-12,2,4,1,0.0,100.0,36.0,27.0,40.3,Columbus Blue Jackets,vs,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-15,2,4,3,18.2,100.0,44.0,27.0,51.6,Chicago Blackhawks,vs,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-17,1,2,3,12.5,66.7,28.0,34.0,45.3,Detroit Red Wings,@,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-19,0,1,6,0.0,100.0,35.0,25.0,59.3,Minnesota Wild,@,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-21,0,1,4,14.3,85.7,26.0,25.0,56.0,Columbus Blue Jackets,@,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-22,0,1,2,16.7,85.7,38.0,30.0,42.9,Nashville Predators,@,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-26,2,5,4,16.7,100.0,41.0,23.0,53.9,Dallas Stars,@,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-28,2,5,4,25.0,75.0,33.0,25.0,50.0,Los Angeles Kings,@,,,,,,,,,,,,,,,
San Jose Sharks,2005-10-29,2,2,2,25.0,85.7,21.0,25.0,45.2,Calgary Flames,vs,,,,,,,,,,,,,,,
San Jose Sharks,2005-11-02,2,3,2,20.0,100.0,36.0,23.0,49.2,Nashville Predators,vs,,,,,,,,,,,,,,,
San Jose Sharks,2005-11-04,2,1,0,14.3,100.0,32.0,21.0,49.2,Anaheim Ducks,@,,,,,,,,,,,,,,,
San Jose Sharks,2005-11-05,0,1,3,0.0,75.0,36.0,25.0,53.0,Minnesota Wild,vs,,,,,,,,,,,,,,,
San Jose Sharks,2005-11-08,0,2,5,0.0,60.0,33.0,23.0,53.2,Colorado Avalanche,@,1.1333333333333333,,,2.8,,3.2666666666666666,,14.18,86.22666666666667,32.86666666666667,25.8,47.63333333333333,49.0,387.0,0.8733850129198967
San Jose Sharks,2005-11-12,1,2,2,16.7,75.0,29.0,22.0,52.6,Dallas Stars,vs,1.1333333333333333,,,2.8,,3.4,,14.18,83.56,33.46666666666667,25.666666666666668,49.120000000000005,51.0,385.0,0.8675324675324675
San Jose Sharks,2005-11-16,0,1,3,0.0,50.0,26.0,24.0,55.0,Vancouver Canucks,vs,1.2,,,2.7333333333333334,,3.1333333333333333,,13.626666666666667,84.75333333333334,33.8,25.4,49.46666666666667,47.0,381.0,0.8766404199475065
San Jose Sharks,2005-11-19,1,3,3,20.0,75.0,43.0,21.0,38.7,Phoenix Coyotes,vs,1.0666666666666667,,,2.3333333333333335,,2.933333333333333,,11.96,83.92000000000002,32.93333333333333,25.266666666666666,50.446666666666665,44.0,379.0,0.8839050131926122
San Jose Sharks,2005-11-21,1,1,1,16.7,100.0,22.0,21.0,32.3,Edmonton Oilers,@,1.0,,,2.2666666666666666,,3.066666666666667,,13.293333333333333,82.25333333333334,33.4,24.866666666666667,50.34,46.0,373.0,0.8766756032171582
San Jose Sharks,2005-11-23,0,2,3,33.3,100.0,22.0,25.0,46.4,Calgary Flames,@,0.9333333333333333,,,2.066666666666667,,2.933333333333333,,13.193333333333333,82.25333333333334,31.933333333333334,24.466666666666665,49.05333333333333,44.0,367.0,0.8801089918256131
San Jose Sharks,2005-11-24,0,2,3,20.0,100.0,22.0,20.0,48.1,Vancouver Canucks,@,0.8666666666666667,,,2.066666666666667,,2.933333333333333,,14.58,84.47333333333334,31.533333333333335,23.866666666666667,49.12666666666667,44.0,358.0,0.8770949720670391
San Jose Sharks,2005-11-26,0,6,7,25.0,57.1,33.0,30.0,53.9,Detroit Red Wings,vs,0.8666666666666667,,,2.1333333333333333,,2.7333333333333334,,15.913333333333332,84.47333333333334,30.666666666666668,23.533333333333335,48.379999999999995,41.0,353.0,0.8838526912181303
San Jose Sharks,2005-11-30,0,1,4,0.0,80.0,18.0,27.0,46.9,Dallas Stars,@,0.8666666666666667,,,2.466666666666667,,2.933333333333333,,16.626666666666665,82.56666666666666,31.133333333333333,23.866666666666667,48.24,44.0,358.0,0.8770949720670391
San Jose Sharks,2005-12-02,2,5,0,16.7,100.0,26.0,27.0,47.6,Buffalo Sabres,@,0.8666666666666667,,,2.466666666666667,,3.066666666666667,,15.513333333333332,82.18666666666667,29.8,23.666666666666668,48.50666666666667,46.0,355.0,0.8704225352112676
San Jose Sharks,2005-12-03,2,5,4,40.0,83.3,27.0,28.0,59.4,Toronto Maple Leafs,@,0.8666666666666667,0.88,,2.466666666666667,2.68,2.8,3.2,15.513333333333332,82.18666666666667,28.8,23.933333333333334,48.08666666666667,42.0,359.0,0.883008356545961
San Jose Sharks,2005-12-06,2,5,3,40.0,100.0,26.0,25.0,44.8,Atlanta Thrashers,vs,0.8666666666666667,0.96,,2.466666666666667,2.8,2.8,3.24,16.513333333333332,82.74,28.4,24.133333333333333,48.71333333333334,42.0,362.0,0.8839779005524862
