team,date,points,goals,goals_against,power_play,penalty_kill,shots,shots_against,FOWp,opponent,identifier,rolling_points_5,rolling_points_10,rolling_points_20,rolling_goals_5,rolling_goals_10,rolling_ga_5,rolling_ga_10,rolling_pp_5,rolling_pk_5,rolling_shots_5,rolling_sa_5,rolling_fow_5,rolling_ga_sum,rolling_sa_sum,rolling_svp_5
Dallas Stars,2005-10-05,2,5,4,16.7,75.0,30.0,20.0,58.0,Los Angeles Kings,vs,,,,,,,,,,,,,,,
Dallas Stars,2005-10-08,0,2,3,0.0,80.0,18.0,31.0,58.2,Colorado Avalanche,vs,,,,,,,,,,,,,,,
Dallas Stars,2005-10-11,2,3,2,0.0,87.5,23.0,25.0,48.3,Phoenix Coyotes,vs,,,,,,,,,,,,,,,
Dallas Stars,2005-10-13,2,3,2,33.3,100.0,22.0,20.0,48.0,Calgary Flames,@,,,,,,,,,,,,,,,
Dallas Stars,2005-10-14,2,3,2,50.0,100.0,25.0,36.0,29.6,Edmonton Oilers,@,,,,,,,,,,,,,,,
Dallas Stars,2005-10-16,0,2,5,0.0,70.0,20.0,35.0,49.2,Vancouver Canucks,@,,,,,,,,,,,,,,,
Dallas Stars,2005-10-20,0,2,7,33.3,75.0,30.0,28.0,63.9,Los Angeles Kings,vs,,,,,,,,,,,,,,,
Dallas Stars,2005-10-22,2,2,1,0.0,88.9,23.0,30.0,44.1,Calgary Flames,vs,,,,,,,,,,,,,,,
Dallas Stars,2005-10-26,1,4,5,0.0,83.3,23.0,41.0,46.2,San Jose Sharks,vs,,,,,,,,,,,,,,,
Dallas Stars,2005-10-28,0,3,5,14.3,85.7,22.0,25.0,42.9,Edmonton Oilers,vs,,,,,,,,,,,,,,,
Dallas Stars,2005-10-29,2,5,3,33.3,75.0,41.0,23.0,69.8,Phoenix Coyotes,@,,,,,,,,,,,,,,,
Dallas Stars,2005-11-02,0,3,6,14.3,66.7,32.0,26.0,43.9,Los Angeles Kings,vs,,,,,,,,,,,,,,,
Dallas Stars,2005-11-04,2,9,1,25.0,100.0,40.0,19.0,54.7,Chicago Blackhawks,vs,,,,,,,,,,,,,,,
Dallas Stars,2005-11-05,2,2,2,14.3,83.3,35.0,29.0,40.4,Colorado Avalanche,@,,,,,,,,,,,,,,,
Dallas Stars,2005-11-07,2,4,0,20.0,100.0,26.0,16.0,52.1,Edmonton Oilers,vs,,,,,,,,,,,,,,,
Dallas Stars,2005-11-10,0,3,5,22.2,60.0,28.0,32.0,36.7,Nashville Predators,@,1.2666666666666666,,,3.466666666666667,,3.2,,16.966666666666665,84.69333333333334,27.333333333333332,26.933333333333334,49.95333333333333,48.0,404.0,0.8811881188118812
Dallas Stars,2005-11-12,2,2,2,25.0,83.3,22.0,29.0,47.4,San Jose Sharks,@,1.1333333333333333,,,3.3333333333333335,,3.2666666666666666,,17.333333333333332,83.69333333333334,27.2,27.733333333333334,48.53333333333333,49.0,416.0,0.8822115384615384
Dallas Stars,2005-11-13,2,3,1,16.7,100.0,19.0,41.0,41.8,Anaheim Ducks,@,1.2666666666666666,,,3.3333333333333335,,3.2,,19.0,83.91333333333334,27.466666666666665,27.6,47.813333333333325,48.0,414.0,0.8840579710144928
Dallas Stars,2005-11-16,2,4,2,10.0,80.0,38.0,32.0,43.3,Anaheim Ducks,@,1.2666666666666666,,,3.3333333333333335,,3.1333333333333333,,20.113333333333333,84.74666666666667,27.2,28.666666666666668,47.38,47.0,430.0,0.8906976744186047
Dallas Stars,2005-11-18,2,6,3,37.5,71.4,29.0,18.0,53.7,Columbus Blue Jackets,vs,1.2666666666666666,,,3.4,,3.1333333333333333,,18.56,83.41333333333334,28.266666666666666,29.466666666666665,47.06666666666667,47.0,442.0,0.8936651583710408
Dallas Stars,2005-11-23,2,3,1,25.0,100.0,27.0,21.0,45.3,Anaheim Ducks,vs,1.2666666666666666,,,3.6,,3.2,,17.726666666666667,81.50666666666666,28.533333333333335,28.266666666666666,48.67333333333333,48.0,424.0,0.8867924528301887
Dallas Stars,2005-11-25,0,1,4,8.3,62.5,33.0,22.0,37.7,Phoenix Coyotes,vs,1.4,,,3.6666666666666665,,2.933333333333333,,19.39333333333333,83.50666666666666,29.0,27.333333333333332,48.413333333333334,44.0,410.0,0.8926829268292683
Dallas Stars,2005-11-26,2,3,1,16.7,88.9,32.0,24.0,49.2,Nashville Predators,@,1.4,,,3.6,,2.7333333333333334,,17.726666666666667,82.67333333333333,29.2,26.933333333333334,46.666666666666664,41.0,404.0,0.8985148514851485
Dallas Stars,2005-11-30,2,4,1,20.0,100.0,27.0,18.0,53.1,San Jose Sharks,vs,1.4,,,3.6666666666666665,,2.7333333333333334,,18.839999999999996,82.67333333333333,29.8,26.533333333333335,47.00666666666667,41.0,398.0,0.8969849246231156
Dallas Stars,2005-12-02,2,4,4,20.0,77.8,31.0,20.0,48.5,Carolina Hurricanes,vs,1.4666666666666666,,,3.6666666666666665,,2.466666666666667,,20.173333333333332,83.78666666666666,30.066666666666666,25.0,47.46666666666667,37.0,375.0,0.9013333333333333
Dallas Stars,2005-12-07,2,4,3,16.7,75.0,26.0,22.0,52.2,Florida Panthers,vs,1.6,1.4,,3.7333333333333334,3.4,2.4,2.88,20.55333333333333,83.25999999999999,30.666666666666668,24.666666666666668,47.84,36.0,370.0,0.9027027027027027
Dallas Stars,2005-12-10,2,2,1,25.0,100.0,34.0,20.0,46.3,Toronto Maple Leafs,@,1.6,1.4,,3.6666666666666665,3.36,2.4,2.84,19.446666666666665,83.25999999999999,29.666666666666668,24.6,46.666666666666664,36.0,369.0,0.9024390243902439
