,team,date,points,RW,ROW,SOW,goals,goals_against,power_play,penalty_kill,net_ppp,net_pkp,shots,shots_against,FOWp
0,Ottawa Senators,2006/04/21vs TBL,2,1,1,0,4,1,33.3,88.9,33.3,100.0,38.0,36.0,62.1
1,Tampa Bay Lightning,2006/04/21@ OTT,0,0,0,0,1,4,11.1,66.7,0.0,66.7,36.0,38.0,37.9
2,Detroit Red Wings,2006/04/21vs EDM,2,0,1,0,3,2,16.7,66.7,16.7,66.7,57.0,25.0,56.6
3,Nashville Predators,2006/04/21vs SJS,2,1,1,0,4,3,57.1,83.3,57.1,83.3,30.0,34.0,58.5
4,Calgary Flames,2006/04/21vs ANA,2,0,1,0,2,1,0.0,100.0,0.0,100.0,30.0,34.0,47.4
5,Edmonton Oilers,2006/04/21@ DET,0,0,0,0,2,3,33.3,83.3,33.3,83.3,25.0,57.0,43.4
6,Anaheim Ducks,2006/04/21@ CGY,0,0,0,0,1,2,0.0,100.0,0.0,100.0,34.0,30.0,52.6
7,San Jose Sharks,2006/04/21@ NSH,0,0,0,0,3,4,16.7,42.9,16.7,42.9,34.0,30.0,41.5
8,New Jersey Devils,2006/04/22vs NYR,2,1,1,0,6,1,38.5,83.3,38.5,83.3,30.0,30.0,44.2
9,New York Rangers,2006/04/22@ NJD,0,0,0,0,1,6,16.7,61.5,16.7,61.5,30.0,30.0,55.8
10,Philadelphia Flyers,2006/04/22@ BUF,0,0,0,0,2,3,20.0,100.0,20.0,100.0,32.0,58.0,43.0
11,Buffalo Sabres,2006/04/22vs PHI,2,0,1,0,3,2,0.0,80.0,0.0,80.0,58.0,32.0,57.0
12,Montréal Canadiens,2006/04/22@ CAR,2,1,1,0,6,1,66.7,100.0,66.7,100.0,21.0,43.0,50.9
13,Carolina Hurricanes,2006/04/22vs MTL,0,0,0,0,1,6,0.0,33.3,0.0,33.3,43.0,21.0,49.1
14,Colorado Avalanche,2006/04/22@ DAL,2,1,1,0,5,2,28.6,100.0,28.6,100.0,31.0,18.0,48.6
15,Dallas Stars,2006/04/22vs COL,0,0,0,0,2,5,0.0,71.4,0.0,71.4,18.0,31.0,51.4
16,Ottawa Senators,2006/04/23vs TBL,0,0,0,0,3,4,25.0,100.0,25.0,100.0,24.0,36.0,46.3
17,Tampa Bay Lightning,2006/04/23@ OTT,2,1,1,0,4,3,0.0,75.0,0.0,75.0,36.0,24.0,53.7
18,Detroit Red Wings,2006/04/23vs EDM,0,0,0,0,2,4,25.0,100.0,25.0,100.0,35.0,24.0,59.7
19,Nashville Predators,2006/04/23vs SJS,0,0,0,0,0,3,0.0,70.0,0.0,70.0,25.0,37.0,58.1
20,Calgary Flames,2006/04/23vs ANA,0,0,0,0,3,4,16.7,100.0,8.3,116.7,25.0,20.0,51.4
21,Edmonton Oilers,2006/04/23@ DET,2,1,1,0,4,2,0.0,75.0,0.0,75.0,24.0,35.0,40.4
22,Anaheim Ducks,2006/04/23@ CGY,2,1,1,0,4,3,0.0,83.3,-16.7,91.7,20.0,25.0,48.6
23,San Jose Sharks,2006/04/23@ NSH,2,1,1,0,3,0,30.0,100.0,30.0,100.0,37.0,25.0,41.9
24,New Jersey Devils,2006/04/24vs NYR,2,1,1,0,4,1,16.7,100.0,16.7,128.6,25.0,26.0,48.2
25,New York Rangers,2006/04/24@ NJD,0,0,0,0,1,4,0.0,83.3,-28.6,83.3,26.0,25.0,51.9
26,Philadelphia Flyers,2006/04/24@ BUF,0,0,0,0,2,8,0.0,75.0,0.0,75.0,22.0,28.0,52.5
27,Buffalo Sabres,2006/04/24vs PHI,2,1,1,0,8,2,25.0,100.0,25.0,100.0,28.0,22.0,47.5
28,Montréal Canadiens,2006/04/24@ CAR,2,0,1,0,6,5,12.5,62.5,12.5,62.5,36.0,46.0,52.4
29,Carolina Hurricanes,2006/04/24vs MTL,0,0,0,0,5,6,37.5,87.5,37.5,87.5,46.0,36.0,47.7
30,Colorado Avalanche,2006/04/24@ DAL,2,0,1,0,5,4,25.0,75.0,25.0,87.5,23.0,25.0,39.4
31,Dallas Stars,2006/04/24vs COL,0,0,0,0,4,5,25.0,75.0,12.5,75.0,25.0,23.0,60.6
32,Ottawa Senators,2006/04/25@ TBL,2,1,1,0,8,4,75.0,72.7,75.0,72.7,31.0,39.0,51.4
33,Tampa Bay Lightning,2006/04/25vs OTT,0,0,0,0,4,8,27.3,25.0,27.3,25.0,39.0,31.0,48.6
34,Detroit Red Wings,2006/04/25@ EDM,0,0,0,0,3,4,22.2,88.9,22.2,88.9,47.0,32.0,54.2
35,Nashville Predators,2006/04/25@ SJS,0,0,0,0,1,4,0.0,88.9,0.0,100.0,17.0,40.0,60.0
36,Calgary Flames,2006/04/25@ ANA,2,1,1,0,5,2,42.9,77.8,42.9,77.8,24.0,29.0,56.9
37,Edmonton Oilers,2006/04/25vs DET,2,0,1,0,4,3,11.1,77.8,11.1,77.8,32.0,47.0,45.8
38,Anaheim Ducks,2006/04/25vs CGY,0,0,0,0,2,5,22.2,57.1,22.2,57.1,29.0,24.0,43.1
39,San Jose Sharks,2006/04/25vs NSH,2,1,1,0,4,1,11.1,100.0,0.0,100.0,40.0,17.0,40.0
40,New Jersey Devils,2006/04/26@ NYR,2,1,1,0,3,0,0.0,100.0,0.0,100.0,20.0,25.0,45.5
41,New York Rangers,2006/04/26vs NJD,0,0,0,0,0,3,0.0,100.0,0.0,100.0,25.0,20.0,54.6
42,Philadelphia Flyers,2006/04/26vs BUF,2,1,1,0,4,2,20.0,100.0,20.0,114.3,27.0,28.0,53.5
43,Buffalo Sabres,2006/04/26@ PHI,0,0,0,0,2,4,0.0,80.0,-14.3,80.0,28.0,27.0,46.6
44,Montréal Canadiens,2006/04/26vs CAR,0,0,0,0,1,2,33.3,85.7,33.3,85.7,28.0,36.0,62.1
45,Carolina Hurricanes,2006/04/26@ MTL,2,0,1,0,2,1,14.3,66.7,14.3,66.7,36.0,28.0,37.9
46,Colorado Avalanche,2006/04/26vs DAL,2,0,1,0,4,3,25.0,80.0,12.5,80.0,29.0,22.0,54.4
47,Dallas Stars,2006/04/26@ COL,0,0,0,0,3,4,20.0,75.0,20.0,87.5,22.0,29.0,45.6
48,Ottawa Senators,2006/04/27@ TBL,2,1,1,0,5,2,25.0,100.0,25.0,100.0,25.0,32.0,44.9
49,Tampa Bay Lightning,2006/04/27vs OTT,0,0,0,0,2,5,0.0,75.0,0.0,75.0,32.0,25.0,55.1
50,Detroit Red Wings,2006/04/27@ EDM,2,1,1,0,4,2,27.3,77.8,27.3,77.8,31.0,26.0,53.7
51,Nashville Predators,2006/04/27@ SJS,0,0,0,0,4,5,14.3,71.4,14.3,71.4,30.0,24.0,56.7
52,Calgary Flames,2006/04/27@ ANA,0,0,0,0,2,3,0.0,85.7,0.0,85.7,27.0,30.0,44.6
53,Edmonton Oilers,2006/04/27vs DET,0,0,0,0,2,4,22.2,72.7,22.2,72.7,26.0,31.0,46.3
54,Anaheim Ducks,2006/04/27vs CGY,2,0,1,0,3,2,14.3,100.0,14.3,100.0,30.0,27.0,55.4
55,San Jose Sharks,2006/04/27vs NSH,2,1,1,0,5,4,28.6,85.7,28.6,85.7,24.0,30.0,43.3
56,Philadelphia Flyers,2006/04/28vs BUF,2,1,1,0,5,4,12.5,50.0,0.0,50.0,33.0,30.0,50.9
57,Buffalo Sabres,2006/04/28@ PHI,0,0,0,0,4,5,50.0,87.5,50.0,100.0,30.0,33.0,49.2
58,Montréal Canadiens,2006/04/28vs CAR,0,0,0,0,2,3,25.0,100.0,25.0,100.0,25.0,30.0,46.8
59,Carolina Hurricanes,2006/04/28@ MTL,2,1,1,0,3,2,0.0,75.0,0.0,75.0,30.0,25.0,53.2
60,Colorado Avalanche,2006/04/28vs DAL,0,0,0,0,1,4,0.0,83.3,0.0,83.3,23.0,39.0,35.6
61,Dallas Stars,2006/04/28@ COL,2,1,1,0,4,1,16.7,100.0,16.7,100.0,39.0,23.0,64.4
62,New Jersey Devils,2006/04/29@ NYR,2,1,1,0,4,2,33.3,80.0,33.3,100.0,29.0,33.0,59.7
63,New York Rangers,2006/04/29vs NJD,0,0,0,0,2,4,20.0,66.7,0.0,66.7,33.0,29.0,40.3
64,Ottawa Senators,2006/04/29vs TBL,2,1,1,0,3,2,16.7,100.0,16.7,100.0,38.0,28.0,55.6
65,Tampa Bay Lightning,2006/04/29@ OTT,0,0,0,0,2,3,0.0,83.3,0.0,83.3,28.0,38.0,44.4
66,Detroit Red Wings,2006/04/29vs EDM,0,0,0,0,2,3,0.0,75.0,0.0,75.0,32.0,19.0,60.9
67,Calgary Flames,2006/04/29vs ANA,2,1,1,0,3,2,25.0,66.7,25.0,83.3,27.0,28.0,56.4
68,Edmonton Oilers,2006/04/29@ DET,2,1,1,0,3,2,25.0,100.0,25.0,100.0,19.0,32.0,39.1
69,Anaheim Ducks,2006/04/29@ CGY,0,0,0,0,2,3,33.3,75.0,16.7,75.0,28.0,27.0,43.6
70,Philadelphia Flyers,2006/04/30@ BUF,0,0,0,0,0,3,0.0,66.7,0.0,66.7,24.0,33.0,57.6
71,Buffalo Sabres,2006/04/30vs PHI,2,1,1,0,3,0,33.3,100.0,33.3,100.0,33.0,24.0,42.4
72,Montréal Canadiens,2006/04/30@ CAR,0,0,0,0,1,2,0.0,60.0,0.0,60.0,31.0,28.0,51.1
73,Carolina Hurricanes,2006/04/30vs MTL,2,1,1,0,2,1,40.0,100.0,40.0,100.0,28.0,31.0,48.9
74,Nashville Predators,2006/04/30vs SJS,0,0,0,0,1,2,20.0,60.0,20.0,60.0,35.0,36.0,59.7
75,Colorado Avalanche,2006/04/30@ DAL,2,0,1,0,3,2,0.0,85.7,0.0,85.7,30.0,52.0,46.2
76,Dallas Stars,2006/04/30vs COL,0,0,0,0,2,3,14.3,100.0,14.3,100.0,52.0,30.0,53.8
77,San Jose Sharks,2006/04/30@ NSH,2,1,1,0,2,1,40.0,80.0,40.0,80.0,36.0,35.0,40.3
78,Detroit Red Wings,2006/05/01@ EDM,0,0,0,0,3,4,25.0,66.7,25.0,66.7,36.0,30.0,37.9
79,Calgary Flames,2006/05/01@ ANA,0,0,0,0,1,2,0.0,88.9,0.0,88.9,22.0,30.0,45.5
80,Edmonton Oilers,2006/05/01vs DET,2,1,1,0,4,3,33.3,75.0,33.3,75.0,30.0,36.0,62.1
81,Anaheim Ducks,2006/05/01vs CGY,2,1,1,0,2,1,11.1,100.0,11.1,100.0,30.0,22.0,54.6
82,Philadelphia Flyers,2006/05/02vs BUF,0,0,0,0,1,7,0.0,100.0,-20.0,100.0,22.0,28.0,46.8
83,Buffalo Sabres,2006/05/02@ PHI,2,1,1,0,7,1,0.0,100.0,0.0,120.0,28.0,22.0,53.2
84,Montréal Canadiens,2006/05/02vs CAR,0,0,0,0,1,2,25.0,100.0,25.0,100.0,26.0,29.0,63.0
85,Carolina Hurricanes,2006/05/02@ MTL,2,0,1,0,2,1,0.0,75.0,0.0,75.0,29.0,26.0,37.0
86,Calgary Flames,2006/05/03vs ANA,0,0,0,0,0,3,0.0,100.0,0.0,100.0,22.0,32.0,50.8
87,Anaheim Ducks,2006/05/03@ CGY,2,1,1,0,3,0,0.0,100.0,0.0,100.0,32.0,22.0,49.2
88,Buffalo Sabres,2006/05/05@ OTT,2,0,1,0,7,6,20.0,66.7,20.0,100.0,23.0,33.0,48.6
89,Ottawa Senators,2006/05/05vs BUF,0,0,0,0,6,7,33.3,80.0,0.0,80.0,33.0,23.0,51.4
90,Colorado Avalanche,2006/05/05@ ANA,0,0,0,0,0,5,0.0,80.0,0.0,80.0,29.0,34.0,54.6
91,Anaheim Ducks,2006/05/05vs COL,2,1,1,0,5,0,20.0,100.0,20.0,100.0,34.0,29.0,45.5
92,New Jersey Devils,2006/05/06@ CAR,0,0,0,0,0,6,0.0,37.5,0.0,37.5,21.0,38.0,43.6
93,Carolina Hurricanes,2006/05/06vs NJD,2,1,1,0,6,0,62.5,100.0,62.5,100.0,38.0,21.0,56.5
94,Colorado Avalanche,2006/05/07@ ANA,0,0,0,0,0,3,0.0,83.3,0.0,83.3,22.0,35.0,54.1
95,Edmonton Oilers,2006/05/07@ SJS,0,0,0,0,1,2,20.0,100.0,20.0,100.0,16.0,30.0,50.0
96,Anaheim Ducks,2006/05/07vs COL,2,1,1,0,3,0,16.7,100.0,16.7,100.0,35.0,22.0,46.0
97,San Jose Sharks,2006/05/07vs EDM,2,1,1,0,2,1,0.0,80.0,0.0,80.0,30.0,16.0,50.0
98,New Jersey Devils,2006/05/08@ CAR,0,0,0,0,2,3,0.0,80.0,0.0,80.0,23.0,38.0,36.5
99,Buffalo Sabres,2006/05/08@ OTT,2,1,1,0,2,1,0.0,100.0,0.0,100.0,17.0,44.0,47.4
100,Ottawa Senators,2006/05/08vs BUF,0,0,0,0,1,2,0.0,100.0,0.0,100.0,44.0,17.0,52.6
101,Carolina Hurricanes,2006/05/08vs NJD,2,0,1,0,3,2,20.0,100.0,20.0,100.0,38.0,23.0,63.5
102,Edmonton Oilers,2006/05/08@ SJS,0,0,0,0,1,2,0.0,83.3,0.0,83.3,25.0,38.0,58.6
103,San Jose Sharks,2006/05/08vs EDM,2,1,1,0,2,1,16.7,100.0,16.7,100.0,38.0,25.0,41.4
104,Colorado Avalanche,2006/05/09vs ANA,0,0,0,0,3,4,0.0,100.0,0.0,120.0,29.0,39.0,55.4
105,Anaheim Ducks,2006/05/09@ COL,2,0,1,0,4,3,0.0,100.0,-20.0,100.0,39.0,29.0,44.6
106,New Jersey Devils,2006/05/10vs CAR,0,0,0,0,2,3,16.7,60.0,16.7,60.0,30.0,24.0,50.8
107,Buffalo Sabres,2006/05/10vs OTT,2,0,1,0,3,2,20.0,75.0,20.0,75.0,24.0,28.0,50.9
108,Ottawa Senators,2006/05/10@ BUF,0,0,0,0,2,3,25.0,80.0,25.0,80.0,28.0,24.0,49.2
109,Carolina Hurricanes,2006/05/10@ NJD,2,1,1,0,3,2,40.0,83.3,40.0,83.3,24.0,30.0,49.2
110,Edmonton Oilers,2006/05/10vs SJS,2,0,1,0,3,2,16.7,100.0,16.7,100.0,58.0,34.0,61.2
111,San Jose Sharks,2006/05/10@ EDM,0,0,0,0,2,3,0.0,83.3,0.0,83.3,34.0,58.0,38.8
112,Buffalo Sabres,2006/05/11vs OTT,0,0,0,0,1,2,0.0,75.0,0.0,75.0,30.0,28.0,44.4
113,Ottawa Senators,2006/05/11@ BUF,2,1,1,0,2,1,25.0,100.0,25.0,100.0,28.0,30.0,55.6
114,Colorado Avalanche,2006/05/11vs ANA,0,0,0,0,1,4,0.0,100.0,0.0,100.0,41.0,34.0,66.7
115,Anaheim Ducks,2006/05/11@ COL,2,1,1,0,4,1,0.0,100.0,0.0,100.0,34.0,41.0,33.3
116,Edmonton Oilers,2006/05/12vs SJS,2,1,1,0,6,3,20.0,100.0,20.0,100.0,35.0,25.0,66.2
117,San Jose Sharks,2006/05/12@ EDM,0,0,0,0,3,6,0.0,80.0,0.0,80.0,25.0,35.0,33.8
118,New Jersey Devils,2006/05/13vs CAR,2,1,1,0,5,1,18.2,100.0,18.2,125.0,33.0,20.0,42.4
119,Buffalo Sabres,2006/05/13@ OTT,2,0,1,0,3,2,16.7,85.7,16.7,100.0,24.0,36.0,43.4
120,Ottawa Senators,2006/05/13vs BUF,0,0,0,0,2,3,14.3,83.3,0.0,83.3,36.0,24.0,56.6
121,Carolina Hurricanes,2006/05/13@ NJD,0,0,0,0,1,5,0.0,81.8,-25.0,81.8,20.0,33.0,57.6
122,New Jersey Devils,2006/05/14@ CAR,0,0,0,0,1,4,0.0,50.0,0.0,50.0,18.0,31.0,44.8
123,Carolina Hurricanes,2006/05/14vs NJD,2,1,1,0,4,1,50.0,100.0,50.0,100.0,31.0,18.0,55.2
124,Edmonton Oilers,2006/05/14@ SJS,2,1,1,0,6,3,42.9,85.7,42.9,100.0,18.0,24.0,51.5
125,San Jose Sharks,2006/05/14vs EDM,0,0,0,0,3,6,14.3,57.1,0.0,57.1,24.0,18.0,48.5
126,Edmonton Oilers,2006/05/17vs SJS,2,1,1,0,2,0,0.0,100.0,0.0,100.0,26.0,24.0,61.6
127,San Jose Sharks,2006/05/17@ EDM,0,0,0,0,0,2,0.0,100.0,0.0,100.0,24.0,26.0,38.4
128,Edmonton Oilers,2006/05/19@ ANA,2,1,1,0,3,1,20.0,87.5,20.0,100.0,26.0,32.0,45.5
129,Anaheim Ducks,2006/05/19vs EDM,0,0,0,0,1,3,12.5,80.0,0.0,80.0,32.0,26.0,54.6
130,Buffalo Sabres,2006/05/20@ CAR,2,1,1,0,3,2,0.0,100.0,-33.3,100.0,27.0,31.0,54.0
131,Carolina Hurricanes,2006/05/20vs BUF,0,0,0,0,2,3,0.0,100.0,0.0,133.3,31.0,27.0,46.0
132,Edmonton Oilers,2006/05/21@ ANA,2,1,1,0,3,1,33.3,100.0,33.3,100.0,25.0,34.0,44.2
133,Anaheim Ducks,2006/05/21vs EDM,0,0,0,0,1,3,0.0,66.7,0.0,66.7,34.0,25.0,55.8
134,Buffalo Sabres,2006/05/22@ CAR,0,0,0,0,3,4,42.9,60.0,42.9,60.0,19.0,35.0,38.9
135,Carolina Hurricanes,2006/05/22vs BUF,2,1,1,0,4,3,40.0,57.1,40.0,57.1,35.0,19.0,61.1
136,Edmonton Oilers,2006/05/23vs ANA,2,1,1,0,5,4,25.0,100.0,25.0,100.0,22.0,38.0,50.0
